Placebo,Coef,p-val,N
Baseline,-0.0009281289681708735,9.211831503375123e-06,3360
Shift 4q,0.0011790646584748036,8.912497044155643e-06,3360
Shift 8q,0.00041115613315271767,0.01101599344597326,3360
Shift -4q,0.0006474112112413365,0.045787124078049635,2520
