Variant,Coefficient,p-value
True Baseline,0.0010814612367768624,0.012334460197073183
Placebo Start 2018,-0.0005763619782823724,0.005529106438860953
Placebo Start 2019,0.0003370858897493061,0.033976076332543625
Randomized Mean,-2.0413520799805285e-05,
Randomized SD,0.0004079393343779961,
