reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,simple_average,binding_coverage,duty_free_share
"Kyrgyz Republic",C417,,MTN,MT4,TOTAL,"All products",7.51060305129888,99.9406058206296,0.196193423137876
"Lao People's Democratic Republic",C418,,MTN,MT4,TOTAL,"All products",18.648034812383,100,0.0569531279005012
Lesotho,C426,,MTN,MT4,TOTAL,"All products",79.3935461914486,100,0
Liberia,C430,,MTN,MT4,TOTAL,"All products",26.7354178523661,100,0.000556896231668832
"Macao, China",C446,,MTN,MT4,TOTAL,"All products",0,30.387971041396,0.910659804520464
Madagascar,C450,,MTN,MT4,TOTAL,"All products",27.4100198412698,31.1861889734546,0.00238095238095238
Malawi,C454,,MTN,MT4,TOTAL,"All products",73.2319392976884,35.0658993874141,0
Malaysia,C458,,MTN,MT4,TOTAL,"All products",21.1850940203857,84.2840735068913,0.0692945945945946
Maldives,C462,,MTN,MT4,TOTAL,"All products",36.8693516699411,94.4867273064786,0
Mali,C466,,MTN,MT4,TOTAL,"All products",29.3580907668232,39.5396324484871,0.0185627230046948
Mauritania,C478,,MTN,MT4,TOTAL,"All products",20.7624961022763,39.6881381102655,0.0178151543498597
Mauritius,C480,,MTN,MT4,TOTAL,"All products",86.6145454545454,20.4195284945239,0.214772727272727
Mexico,C484,,MTN,MT4,TOTAL,"All products",36.1606924447247,100,0.00275272223322114
Mongolia,C496,,MTN,MT4,TOTAL,"All products",17.3930063114906,100,0.0170440876183404
"Moldova, Republic of",C498,,MTN,MT4,TOTAL,"All products",6.75359772485243,100,0.261488119547058
Morocco,C504,,MTN,MT4,TOTAL,"All products",41.2620627157958,100,0.000382848392036753
Mozambique,C508,,MTN,MT4,TOTAL,"All products",97.7007772020725,14.3307963616113,0
Oman,C512,,MTN,MT4,TOTAL,"All products",14.0678067487001,100,0.0606463016330451
Namibia,C516,,MTN,MT4,TOTAL,"All products",19.0311902484755,93.818451828476,0.151115373961219
Nepal,C524,,MTN,MT4,TOTAL,"All products",26.1288026939978,99.4431037683312,0.0253126936718313
Vanuatu,C548,,MTN,MT4,TOTAL,"All products",40.1127714869129,100,0.0335375348060145
"New Zealand",C554,,MTN,MT4,TOTAL,"All products",9.59387978526729,100,0.499640814757878
Nicaragua,C558,,MTN,MT4,TOTAL,"All products",40.9467766315734,100,0.0181365138295898
Niger,C562,,MTN,MT4,TOTAL,"All products",45.2402958360326,96.8813811026545,0.00730766430350642
Nigeria,C566,,MTN,MT4,TOTAL,"All products",120.508734655335,19.6584369779098,0
Norway,C578,,MTN,MT4,TOTAL,"All products",22.3047559088339,100,0.496493352545629
Pakistan,C586,,MTN,MT4,TOTAL,"All products",60.7704770146337,98.552069797661,0
Panama,C591,,MTN,MT4,TOTAL,"All products",22.8000927821991,100,0.0384099903938521
"Papua New Guinea",C598,,MTN,MT4,TOTAL,"All products",32.8765236432103,100,0
Paraguay,C600,,MTN,MT4,TOTAL,"All products",33.4252207811737,100,0
Peru,C604,,MTN,MT4,TOTAL,"All products",29.5763168827954,100,0.0180416372749211
Philippines,C608,,MTN,MT4,TOTAL,"All products",24.8873501752354,67.61037418333,0.0694763103953148
Guinea-Bissau,C624,,MTN,MT4,TOTAL,"All products",48.5804895060554,97.5867829961017,0
Timor-Leste,C626,,MTN,MT4,TOTAL,"All products",11.5457682536715,100,0.0138203267124559
Qatar,C634,,MTN,MT4,TOTAL,"All products",15.5508459518948,100,0.0310191943567849
"Russian Federation",C643,,MTN,MT4,TOTAL,"All products",7.54120697884842,100,0.0338044734758511
Rwanda,C646,,MTN,MT4,TOTAL,"All products",89.3477288629321,100,0.010655281232597
"Saint Kitts and Nevis",C659,,MTN,MT4,TOTAL,"All products",76.4855254210168,95.1921291999257,0
"Saint Lucia",C662,,MTN,MT4,TOTAL,"All products",64.6014065338253,99.4616669760535,0
"Saint Vincent and the Grenadines",C670,,MTN,MT4,TOTAL,"All products",65.1742776696198,99.684425468721,0
"Saudi Arabia, Kingdom of",C682,,MTN,MT4,TOTAL,"All products",11.3900820301909,100,0.0683306436119116
Senegal,C686,,MTN,MT4,TOTAL,"All products",29.9742435492853,100,0
Seychelles,C690,,MTN,MT4,TOTAL,"All products",9.83382813121536,100,0.469310358269909
"Sierra Leone",C694,,MTN,MT4,TOTAL,"All products",47.3215085700142,100,0
Singapore,C702,,MTN,MT4,TOTAL,"All products",6.75817276119134,70.7978618095427,0.241908193512304
"Viet Nam",C704,,MTN,MT4,TOTAL,"All products",11.6539638696934,100,0.13938182661964
"South Africa",C710,,MTN,MT4,TOTAL,"All products",19.0251978238048,93.818451828476,0.151171903442818
Zimbabwe,C716,,MTN,MT4,TOTAL,"All products",84.0570625652735,24.466307777984,0.120826858877086
Suriname,C740,,MTN,MT4,TOTAL,"All products",17.9891261326341,27.4735474289957,0.0360922972972973
Eswatini,C748,,MTN,MT4,TOTAL,"All products",19.0311902484755,93.818451828476,0.151115373961219
Switzerland,C756,,MTN,MT4,TOTAL,"All products",7.67282380320894,99.72288202692,0.207985490273918
Tajikistan,C762,,MTN,MT4,TOTAL,"All products",7.94451816811153,100,0.125338333023947
Thailand,C764,,MTN,MT4,TOTAL,"All products",26.8398188327625,75.9057612353989,0.0616758215962441
Togo,C768,,MTN,MT4,TOTAL,"All products",80,14.5906812697234,0
Tonga,C776,,MTN,MT4,TOTAL,"All products",17.6003311053348,99.9814367922777,0
