date,TCU
2005-12-31,80.17273333333333
2006-03-31,80.60476666666666
2006-06-30,80.74220000000001
2006-09-30,80.61796666666667
2006-12-31,80.26896666666666
2007-03-31,80.41106666666667
2007-06-30,80.88213333333333
2007-09-30,80.77623333333334
2007-12-31,80.9464
2008-03-31,80.75423333333333
2008-06-30,79.7066
2008-09-30,77.06583333333333
2008-12-31,73.57866666666666
2009-03-31,69.22233333333334
2009-06-30,67.108
2009-09-30,68.1631
2009-12-31,69.49936666666667
2010-03-31,71.28696666666667
2010-06-30,73.17823333333332
2010-09-30,74.57026666666667
2010-12-31,75.09500000000001
2011-03-31,75.60456666666666
2011-06-30,75.79986666666667
2011-09-30,76.40249999999999
2011-12-31,76.76616666666666
2012-03-31,77.06173333333334
2012-06-30,77.12526666666666
2012-09-30,76.73880000000001
2012-12-31,76.76943333333332
2013-03-31,77.03093333333334
2013-06-30,77.07566666666666
2013-09-30,77.12216666666667
2013-12-31,77.452
2014-03-31,77.84320000000001
2014-06-30,78.6386
2014-09-30,78.79873333333333
2014-12-31,79.00123333333333
2015-03-31,78.14133333333334
2015-06-30,76.92093333333334
2015-09-30,76.81136666666667
2015-12-31,75.75326666666666
2016-03-31,75.29866666666668
2016-06-30,74.772
2016-09-30,74.9959
2016-12-31,75.12266666666666
2017-03-31,75.476
2017-06-30,76.46283333333334
2017-09-30,76.2727
2017-12-31,77.5913
2018-03-31,77.87043333333334
2018-06-30,78.479
2018-09-30,79.10473333333333
2018-12-31,79.4413
2019-03-31,78.62053333333334
2019-06-30,77.75146666666667
2019-09-30,77.58616666666667
2019-12-31,76.96305000000001
2020-03-31,76.96305000000001
2020-06-30,76.96305000000001
2020-09-30,76.96305000000001
2020-12-31,76.96305000000001
2021-03-31,76.96305000000001
2021-06-30,76.96305000000001
2021-09-30,76.96305000000001
2021-12-31,76.96305000000001
2022-03-31,76.96305000000001
2022-06-30,76.96305000000001
2022-09-30,76.96305000000001
2022-12-31,76.96305000000001
2023-03-31,76.96305000000001
2023-06-30,76.96305000000001
2023-09-30,76.96305000000001
2023-12-31,76.96305000000001
2024-03-31,76.96305000000001
2024-06-30,76.96305000000001
2024-09-30,76.96305000000001
2024-12-31,76.96305000000001
