iso3,quarter_t,gdp_current_usd,total_exports_usd_k,total_imports_usd_k,population,tariff_ahs_weighted,tariff_mfn_weighted,vax_q,TCU
NZL,2006Q4,111542.011,27115791.67,23306990.67,4.18194,21.31,22.16,27115791.67,80.26896666666666
NZL,2007Q1,118148.35793971102,27781813.121261764,23918152.65178222,4.192609348476017,20.732251018984577,21.61714107200864,27781813.121261764,80.41106666666667
NZL,2007Q2,125437.09331525842,28690169.12584323,24762568.27427232,4.203066994833821,20.1302522906438,21.100136390009013,28690169.12584323,80.88213333333333
NZL,2007Q3,132220.39138318412,29859762.83870096,25876476.145196136,4.213318895535329,19.573530008601026,20.646695255260344,29859762.838700958,80.77623333333334
NZL,2007Q4,137191.444,31293243.2,27281119.09,4.2232655,19.14,20.3,31293243.2,80.9464
NZL,2008Q1,139403.8866909642,32899096.270713985,28910873.852137603,4.232846200614432,18.88853108914945,20.089797240160134,32899096.27071398,80.75423333333333
NZL,2008Q2,139144.68846011144,34288795.07379086,30436357.55099198,4.242315878025029,18.81406890177685,20.00369701529686,34288795.07379086,79.7066
NZL,2008Q3,136883.1355064045,34978807.38479855,31446856.46918734,4.2519510813916215,18.90519877333472,20.025678655339732,34978807.38479855,77.06583333333333
NZL,2008Q4,133128.861,34450203.87,31493060.25,4.261824,19.15,20.14,34450203.87,73.57866666666666
NZL,2009Q1,128625.84632003657,32491645.49654891,30371663.59431725,4.271844542127804,19.50722284951886,20.31457666282608,32491645.49654891,69.22233333333334
NZL,2009Q2,124325.9623400465,29702595.997299418,28574461.095475692,4.28231937435044,19.88256585782124,20.48658861071105,29702595.997299418,67.108
NZL,2009Q3,121473.26722304162,26946956.391455386,26794570.8467444,4.293197942865714,20.150829389958844,20.576112639631987,26946956.391455386,68.1631
NZL,2009Q4,121374.699,25157863.62,25776227.51,4.304304,20.18,20.5,25157863.62,69.49936666666667
NZL,2010Q1,124756.69966598746,24987687.417284876,26039563.362800226,4.315304241182101,19.899956552578583,20.220554503342,24987687.417284876,71.28696666666667
NZL,2010Q2,130871.02250847928,26124437.36300255,27373146.777370103,4.326379486918035,19.416332781867176,19.823652787536822,26124437.36300255,73.17823333333332
NZL,2010Q3,138563.94629829822,28083661.691697113,29420084.550552025,4.33731469170866,18.883595685910795,19.434954233430545,28083661.69169711,74.57026666666667
NZL,2010Q4,146517.541,30322684.38,31772232.84,4.3477705,18.47,19.19,30322684.38,75.09500000000001
NZL,2011Q1,153522.8016111753,32342079.465467725,34021048.61837952,4.35736302666161,18.29433036574461,19.17368391471584,32342079.465467725,75.60456666666666
NZL,2011Q2,159562.66417682378,34072915.48547714,36040354.779736176,4.366399812373601,18.281044920693617,19.29251539585719,34072915.48547714,75.79986666666667
NZL,2011Q3,164533.14080452992,35441893.83169452,37653378.57240171,4.374874632273223,18.32135542637609,19.414472529998676,35441893.83169452,76.40249999999999
NZL,2011Q4,168291.357,36364115.52,38665092.19,4.3827005,18.3,19.4,36364115.52,76.76616666666666
NZL,2012Q1,170844.76663251405,36809937.88560078,38978632.55690264,4.389879331154186,18.134932012096716,19.15706168671295,36809937.88560078,77.06173333333334
NZL,2012Q2,172661.41151194385,36909362.99925116,38803401.46307696,4.396818940370554,17.866791540917813,18.76021666489189,36909362.999251164,77.12526666666666
NZL,2012Q3,174277.88238418297,36814205.81498101,38401751.936047755,4.4039793867467925,17.563234935401855,18.32023056015639,36814205.81498101,76.73880000000001
NZL,2012Q4,176206.66,36680186.67,38049235.48,4.4116765,17.3,17.96,36680186.67,76.76943333333332
NZL,2013Q1,178812.32816756394,36655351.98443581,37977663.450350024,4.420082614094944,17.134787368296863,17.775532689651687,36655351.98443581,77.03093333333334
NZL,2013Q2,182184.38621157568,36846922.52732753,38244727.92562597,4.429737823410347,17.04369891099969,17.751160853529292,36846922.52732753,77.07566666666666
NZL,2013Q3,186257.11280684255,37365376.33073189,38885590.62652016,4.440939301117182,16.99369681046309,17.859906933077667,37365376.33073188,77.12216666666667
NZL,2013Q4,190905.755,38315003.53,39923559.97,4.453851,16.95,18.07,38315003.53,77.452
NZL,2014Q1,195743.95984669757,39678843.409642056,41272289.69348507,4.468328122230043,16.89766891909959,18.3414370613558,39678843.409642056,77.84320000000001
NZL,2014Q2,199925.94646594205,41170273.51356516,42614483.75592882,4.484760903388025,16.897739432354147,18.647633531227587,41170273.51356516,78.6386
NZL,2014Q3,202211.93226548145,42371601.34530258,43505053.73429926,4.503079835686906,17.036419264466456,18.953737392674416,42371601.34530258,78.79873333333333
NZL,2014Q4,201313.497,42837936.04,43476625.19,4.522983,17.4,19.22,42837936.04,79.00123333333333
NZL,2015Q1,196704.2196662634,42308165.55341463,42286856.93346903,4.543846101190617,18.01166849454342,19.4121338000138,42308165.55341462,78.14133333333334
NZL,2015Q2,189858.99008083864,41068532.799701355,40305710.06805664,4.566141659330087,18.74452253478688,19.529529144105144,41068532.799701355,76.92093333333334
NZL,2015Q3,182884.9283864799,39536403.26239858,38079439.23122914,4.589689917061797,19.408802145572803,19.566964929632476,39536403.26239858,76.81136666666667
NZL,2015Q4,178064.471,38170231.51,36207984.42,4.614029,19.8,19.52,38170231.51,75.75326666666666
NZL,2016Q1,177047.26650139864,37314187.439924344,35143827.075652905,4.6386702256583785,19.789855944861152,19.411311253070117,37314187.439924344,75.29866666666668
NZL,2016Q2,179212.36285124038,36849803.58065106,34766036.185531825,4.663695728651847,19.51607621898882,19.35550966688225,36849803.58065106,74.772
NZL,2016Q3,183521.687557551,36565217.53251251,34847457.78283483,4.689212312867009,19.17129986511091,19.49377763064657,36565217.53251251,74.9959
NZL,2016Q4,188838.343,36251356.2,35158277.23,4.71477,18.96,19.97,36251356.2,75.12266666666666
NZL,2017Q1,194062.0897332879,35853987.19233612,35546015.62205459,4.739636695096127,19.02610838656909,20.822676142408845,35853987.19233612,75.476
NZL,2017Q2,198957.21334903783,35897894.933506325,36252867.505852126,4.764446110747906,19.301597077281123,21.815510133477204,35897894.933506325,76.46283333333334
NZL,2017Q3,203234.4289566143,37102496.05631994,37621400.14882056,4.788979654334693,19.67153910466792,22.605804378728777,37102496.05631994,76.2727
NZL,2017Q4,206556.259,40187331.25,39983812.4,4.8127515,20.01,22.83,40187331.25,77.5913
NZL,2018Q1,208717.5038690974,45102857.4036043,43222437.91621929,4.835148185510914,20.251555513009627,22.320888966587113,45102857.4036043,77.87043333333334
NZL,2018Q2,210080.5745132561,49550669.04995831,45920342.12949216,4.857143646886441,20.59303990649728,21.543745065535823,49550669.04995831,78.479
NZL,2018Q3,211010.37982624987,50374145.29812332,46130538.57954387,4.879021461725768,21.293442785743576,21.14031066402398,50374145.29812332,79.10473333333333
NZL,2018Q4,211886.687,44324751.93,41857019.23,4.900847,22.61,21.78,44324751.93,79.4413
NZL,2019Q1,212929.826540786,30989274.57607171,32950412.696509566,4.922391477701982,24.583473883568576,23.777040470337447,30989274.57607171,78.62053333333334
NZL,2019Q2,213811.62077547552,18736672.752473235,24957568.380866725,4.944392206034235,26.69750457096716,26.413209740054832,18736672.752473235,77.75146666666667
NZL,2019Q3,214002.465260024,18958559.421644624,25410560.286997605,4.966821302730231,28.20036441295102,28.63667200305798,18958559.421644624,77.58616666666667
