date,AUS,BRN,CHN,IDN,JPN,KHM,KOR,LAO,MMR,MYS,NZL,PHL,SGP,THA,VNM
2005-12-31,,,,,,,,,,,,,,,
2006-03-31,0.03233756948352351,-0.28898977909494405,0.010021528529986057,0.021605592822318442,0.05440265327879246,0.1188349970557887,0.06579406095521634,0.07896743593612676,-0.043430290308064556,0.05596249446091761,-0.00613577544491406,0.02182992954706009,0.0634722159375336,0.04155480433603742,0.0285311313799248
2006-06-30,0.025249916639328518,0.0004647191497628711,0.04684062687499946,0.016631281409239307,0.030071732262861417,0.07220400380386671,0.045069150650306256,0.06290168596904167,0.006017008120119627,0.04200155055906407,0.0010228567643260078,0.022538445136927265,0.043075336126566555,0.02451013190027851,0.050141873761063493
2006-09-30,0.022475678681633582,0.22803232518510264,0.050001428420223704,0.016827197521276815,0.013738507650760567,0.04358577705743727,0.03215945805833442,0.0543514862285388,0.04832804285830328,0.03302024033914819,0.008814592315033565,0.024319478295076635,0.030104375312543397,0.014320404258427288,0.06717187202872665
2006-12-31,0.023572292621288682,0.2890761745183301,0.05145498548957761,0.021876835899075076,0.004351216337202146,0.027689626687495306,0.025637763441839212,0.05142210832638128,0.07771357040349791,0.028091045092164535,0.016849061762162165,0.02682345533030528,0.023241139398521682,0.010433284427744383,0.07846053633280192
2007-03-31,0.02776516734433443,0.2529146607264128,0.05075982185670824,0.030683683318880384,0.0017324584120714803,0.022436973935048954,0.024625029645594765,0.05242810170224388,0.09178392566775173,0.026551479484464124,0.02426532571907103,0.0294745231459288,0.021728190161670824,0.012452713360758594,0.08321551509544278
2007-06-30,0.03600588134710847,0.19695145254791058,0.0509337871867217,0.04402329038627073,0.005643113347797879,0.027585099014737935,0.029715114170073775,0.059111931799664674,0.09825104193510015,0.02934915230916957,0.03217292257596327,0.033734370494101995,0.02608501248332118,0.020548055036098134,0.08702895398159427
2007-09-30,0.04714981329940571,0.1303337915383338,0.05041398371687933,0.0604238650231359,0.016069674940609957,0.04157476398811788,0.039683594630187,0.06900791815722762,0.09718718280869787,0.03532756234049472,0.0399573247217333,0.03866781155195298,0.03525155914970313,0.03412671251439292,0.08813612550058636
2007-12-31,0.05979683403622715,0.05334730269220245,0.048770764338293304,0.0776740562273659,0.032328154970464595,0.06232462920928583,0.05319786733502596,0.08022171998788252,0.08972291750647976,0.043640283100359056,0.04689035239973194,0.043638633253998194,0.04808160195618427,0.051714351125387026,0.08622594017490215
2008-03-31,0.06903714442503173,-0.029911026156566933,0.04520131868118682,0.08918492795546484,0.04814724139222548,0.081293606478539,0.06448763840688798,0.08833039648062346,0.07757423080181347,0.0503333247781832,0.05004298638090887,0.04603100276157335,0.05928959681331136,0.06654090181054428,0.08047218247420318
2008-06-30,0.06367271499392047,-0.0914210245511704,0.037226533207824986,0.08125327176513863,0.04739151107736461,0.08062809406794891,0.05989276478513261,0.0849598479874718,0.0625141081281857,0.04510432328951097,0.041373438149953756,0.038561747098732724,0.05619029467738912,0.06307545280959914,0.06798665534496351
2008-09-30,0.04379745879900554,-0.12671313116247518,0.02418274349507854,0.055386373113915255,0.028739492941877387,0.06130844849837658,0.03907603034144813,0.07112467650174104,0.044303359741226345,0.02693843802056506,0.019923748238049654,0.020197270952625246,0.038254404062037395,0.04125671133863307,0.048725800435406086
2008-12-31,0.009764797189230734,-0.12013493033442657,0.005409510275619311,0.012572824292792717,-0.007676805711845702,0.025312495407057156,0.002334807299078534,0.04767946694869529,0.02166817886092609,-0.004506441490125468,-0.015227459512676234,-0.009789265799323488,0.005797650840786872,0.0016955226554742353,0.0219828083263387
2009-03-31,-0.03187308248060816,-0.0638683576699286,-0.014907626416153619,-0.039192400067921795,-0.054879914761109205,-0.018654228180448484,-0.04314536932056612,0.02023537352896909,-0.0013181739392535974,-0.04298386191961612,-0.05853192064907731,-0.04558768571307681,-0.03449972527128864,-0.047664309631354485,-0.007407076968053872
2009-06-30,-0.06032445550966159,-0.011272055398118042,-0.02291513633161557,-0.07300529985876736,-0.08867965245037013,-0.04431061864904606,-0.07301375056583481,0.00480681708243047,-0.01042785997697493,-0.06701211848995214,-0.08974854533969889,-0.06664093708767638,-0.061145037807996516,-0.0792437953445031,-0.023698367443444113
2009-09-30,-0.06779538595832335,0.01903730603584819,-0.01361801120195949,-0.07744686921399335,-0.09680651358221937,-0.04323248367929544,-0.07609106228822782,0.0027627083481540637,-0.0020356174911952962,-0.06610468781887135,-0.0973640937099951,-0.06204571919942481,-0.0654393601066019,-0.07957956879708661,-0.02264483735392986
2009-12-31,-0.04666029068584976,0.02237014028271922,0.014476022960170809,-0.040798633717617605,-0.06579986114985559,-0.009397886821501444,-0.04166537008127236,0.014326592160600171,0.02445704954965322,-0.031536292742639915,-0.06869983913300715,-0.02348535128607665,-0.03954409035702966,-0.03588329290104042,-0.0018315820517322834
2010-03-31,-0.0007278645654338334,0.010536648260426773,0.05194867242028067,0.028192763531883713,0.0003638710708528947,0.0472730312364078,0.022153715952114794,0.03454792598875933,0.059825262676962865,0.027324174594753003,-0.006787316222318651,0.03743505261964586,0.010589689053109197,0.039766477581405724,0.032121787580049244
2010-06-30,0.038677491615267456,0.026996908088348093,0.07767966471776688,0.08018979394192272,0.05377779859890097,0.09373324978761843,0.06969879672996271,0.05157713990213253,0.08594399522560892,0.06868335468988107,0.044487973468655184,0.07711882573286033,0.04977506812845078,0.09098283823039566,0.05934187913696576
2010-09-30,0.06297074144027093,0.07877527205128665,0.08742393369900014,0.1032791444825314,0.08085082242458697,0.12112512125337105,0.09003819659773526,0.062008243176087774,0.09860433861396167,0.08349924832523925,0.0723167990732918,0.0873872070201216,0.06917237997160797,0.10659888357771408,0.07486637256658213
2010-12-31,0.07133939563091474,0.15082624697922853,0.08338093563865812,0.10132354966249224,0.08271256218818479,0.13058874038027213,0.08635180618402671,0.06567903380357087,0.09933949527343167,0.0753078213075078,0.07670811903364338,0.07326109369702749,0.06966500535938991,0.09371234042752619,0.07901765844158248
2011-03-31,0.06683284740271489,0.20307273148456773,0.06969062515593549,0.08377065627538727,0.06763878372241194,0.124136509086199,0.06745188158552651,0.06427235808385845,0.09130395247765577,0.05331252028260636,0.06447306037341605,0.04555098926164547,0.057012739423591086,0.06548666299900674,0.07352616227334607
2011-06-30,0.060168209560998775,0.20220077257455493,0.056424661620471994,0.06932204744053294,0.054016663816266686,0.10826349449729378,0.051291696678358534,0.06724515137462461,0.08494600701492061,0.037029715019464504,0.0521336492150013,0.026602494172543345,0.0456877137936651,0.04623470916511607,0.06538125758066471
2011-09-30,0.050727115184155736,0.1642607215039913,0.04174032805277861,0.056549235077586246,0.041400925082324846,0.08185569518815683,0.03689145608328559,0.07316732427420014,0.07811060619139809,0.026165821564507752,0.03939176059400751,0.01665909072398719,0.035230972632078306,0.035067589711879066,0.05306714829256265
2011-12-31,0.038392232953686545,0.10686287973442887,0.02510734535755077,0.04444267691524928,0.02903900872380305,0.04637985717619131,0.023348150920359245,0.08034934528563831,0.07020162851959455,0.01984693140546767,0.02568788902476271,0.014981476661894533,0.02506342904785086,0.030531381068495733,0.03663036699871469
2012-03-31,0.024584107945990752,0.045092566133767775,0.008474231896144602,0.03320422825985503,0.017353141355780366,0.008877651386043794,0.011208518067530093,0.08561074139707792,0.06200537215929458,0.01722976724346026,0.012185408933966357,0.01927922021552675,0.015695336412303362,0.030486177547079052,0.019328231038347354
2012-06-30,0.013006825785264908,0.009603580012518265,-0.0015153510610339538,0.023960091144886064,0.007792486900061846,-0.0072597958446003474,0.0026188089218983635,0.08337939963459817,0.05633757410461371,0.01607115245370494,0.002697398720318489,0.022318890162321026,0.008858668006876513,0.02947729973620028,0.011394013281805115
2012-09-30,0.0034803630973598843,0.0012627139097514117,-0.003921076095938503,0.016113349992785686,-6.939121448112928e-05,0.0026758021363733064,-0.0025306408270893144,0.07422435192420807,0.052938821631286714,0.015663540465855164,-0.002581460410670644,0.022556978245816595,0.004414157191749979,0.02624347910985847,0.014285059746374174
2012-12-31,-0.004470874501762978,0.019127209390411792,0.0015213659962078907,0.008983815926594474,-0.006492113801538579,0.038661776091160505,-0.004244784085482678,0.05834124163365928,0.05032450347270867,0.0156377706214208,-0.0036470617416988205,0.019683950376748527,0.0021482057452963943,0.020353878799248548,0.02731558635352016
2013-03-31,-0.010342870946587368,0.05079201211966122,0.012178944859638108,0.0029277284216462363,-0.010824860067920383,0.08303797595429785,-0.002781161547389388,0.03922566537670136,0.04790062714637244,0.015539784510721688,-0.0006772892643631678,0.014956864295740502,0.001904193090936701,0.012555104232813363,0.04497425886653872
2013-06-30,-0.013960615298120871,0.06214665005925113,0.019800547917796507,-0.001051843863209001,-0.012323193652061804,0.09947915248268302,0.0001395660750986849,0.0274928913838437,0.0483608234396975,0.015227026905119345,0.005212654382187765,0.013577207526331847,0.0029887988853580794,0.005464675690035392,0.05645945158947896
2013-09-30,-0.014833545581414143,0.047661398580732595,0.022259457131134752,-0.003048304812342195,-0.010177348847470569,0.08558295377691394,0.00435716241026185,0.022298197771558392,0.049945772895696905,0.013945415654081472,0.013972407433460177,0.015902678117711844,0.005194504424448354,-0.0013676436974385808,0.058867008016108
2013-12-31,-0.012497621565337624,0.010175833291922842,0.019427788019282133,-0.0028993547399274178,-0.0040074556908429315,0.048343766191685233,0.009745346476538685,0.023030277271548272,0.051920153666134894,0.011572859026973248,0.025097047477384393,0.021648410289255793,0.008445757197645065,-0.007940437254855937,0.052951758815076744
2014-03-31,-0.007907354029420333,-0.041408863792057105,0.012313240953869098,-0.0017949012837661371,0.003943203717888366,-0.0006953969295899753,0.014614246453380275,0.02676803961204044,0.05231017210311961,0.007884997745502886,0.03497657749598915,0.027963484156174445,0.01131614983293261,-0.013650213406112499,0.041558662105678934
2014-06-30,-0.005816878554728788,-0.08133883726571511,0.0043206135993365535,-0.0047782186026239515,0.006156488262512028,-0.0343794511921125,0.015119025880224513,0.026660045523954068,0.049882535483469326,0.002205528114352262,0.03689834522664981,0.028688140576139887,0.010077534628795348,-0.018266931817354504,0.0336946908933875
2014-09-30,-0.007067193267626948,-0.10077437079401186,-0.004884127801087601,-0.013360418990167489,0.0006999665497531282,-0.048259975568761604,0.009843890324315652,0.02023836674248969,0.04253111319334124,-0.0063972053425587205,0.02876187896740845,0.021657333652942867,0.0033027942408345723,-0.021228850347142725,0.028645172081844805
2014-12-31,-0.01182320886213617,-0.0886658207760096,-0.015403787288772008,-0.027968840327421418,-0.012741919667014656,-0.03783207141324141,-0.0013231171805863085,0.007529668918078158,0.030422181080005828,-0.01809705623281843,0.010945707837500152,0.006969623755495036,-0.009206330751805325,-0.022050156664747078,0.025898527858927878
2015-03-31,-0.01878717716548195,-0.04438503470607813,-0.025726869459436585,-0.04583886389687564,-0.03102438840645405,-0.007058859190383515,-0.01600014263545546,-0.008788652649785789,0.015605311529334642,-0.031010067224805482,-0.01244395957053257,-0.01180365420661289,-0.024952936911628143,-0.020627786082162203,0.024349576736561573
2015-06-30,-0.02488338510885768,-0.010439595396492862,-0.03305338475211528,-0.05949261047252108,-0.0449893116566038,0.015548026647824287,-0.027700343735087785,-0.021181950267493477,0.004346381481084904,-0.04108793532213184,-0.029737903560356216,-0.024026558936128595,-0.037225700439538656,-0.0193296927807296,0.02252441726529142
2015-09-30,-0.028578210640169743,0.0007715279561306687,-0.03529890459573437,-0.06392382177579847,-0.050585527444610534,0.023147617847754987,-0.03439168113816393,-0.027866848879193995,-0.0034814961942188916,-0.045691685774123414,-0.03802035387725056,-0.026602837395813594,-0.04320103047272994,-0.017699145375377867,0.018924578849350837
2015-12-31,-0.029122050549780454,-0.013479098182015647,-0.031055577774445453,-0.05530984291463881,-0.045021300803679054,0.015444106800590163,-0.034758790998441924,-0.02767149359890908,-0.007747836680682241,-0.04293731801261558,-0.035165917099568844,-0.017793600584855795,-0.040936719536531996,-0.01555350940200384,0.013429885523422058
2016-03-31,-0.02607134672333089,-0.04926339466408791,-0.0207407859438824,-0.03465757841294703,-0.029259413384334465,-0.0027683525332022896,-0.028699197534518106,-0.021986637005710463,-0.008716264474241342,-0.03306166150930423,-0.022682317322413326,-0.00020717866424035947,-0.030777411260313414,-0.012762406012274852,0.007512717827697912
2016-06-30,-0.01944862119483659,-0.09102777982790577,-0.008690262173104202,-0.01583504095276922,-0.014312552684600632,-0.016671737666904107,-0.01949477327114124,-0.019652616108155385,-0.008430951896539085,-0.021759063818294067,-0.012523326269803903,0.013862805640265208,-0.01926232213106971,-0.008746403597623242,0.006186320529074862
2016-09-30,-0.008674323681646001,-0.14088517735624784,0.0042933393454447355,-0.0027484297741402486,-0.0030246311405299764,-0.023344530044909106,-0.007486733418478053,-0.02313198399521177,-0.007320536028331048,-0.010166388917170366,-0.007752840475390599,0.02168203027833826,-0.0077864312571449545,-0.0030892644092723742,0.010480689721820369
2016-12-31,0.006515759160485857,-0.2050467920578818,0.017778519714312324,0.003857556661202466,0.004150325879383132,-0.021693399626908416,0.007377555506486999,-0.03267034125322432,-0.005165812687938143,0.00165085607544313,-0.008620654890965085,0.02293055886983808,0.0035164356206749403,0.0043177195339474395,0.02008733967437948
2017-03-31,0.022935972974682528,-0.2746633904300122,0.02964862373557864,0.005806573008381832,0.007752668595866652,-0.009952301374756445,0.02247889611373921,-0.04131514102318512,-0.0014862673436759621,0.012719423956760068,-0.011022013399220043,0.019947720079855458,0.013585046027497327,0.012908798180571779,0.03214519612698297
2017-06-30,0.034895397879580514,-0.2610320228979752,0.0387708994278988,0.012896189901308475,0.01272609903935873,0.015696731431908972,0.034315435519776116,-0.022215389773281302,0.00585330980834442,0.023921434218429738,0.0012238772099060213,0.02253162324190683,0.0228880819484516,0.023486033091369762,0.04203781725760436
2017-09-30,0.04078697167497225,-0.0042252566762552846,0.04416266450218487,0.027298333679450337,0.020062125302949596,0.05574987846217638,0.04167807215020147,0.03613864255285293,0.017666815249292256,0.03515570172904958,0.033005589671002866,0.03179605860508872,0.031238733548637043,0.035797302036158385,0.04788837341097718
2017-12-31,0.04054007040185681,0.39009690357975835,0.04557297189677101,0.047601176856481686,0.029220372640605063,0.10310906523230656,0.044262463693129916,0.12241918938112306,0.03314291295842153,0.04549535533093518,0.0798675564258069,0.04655799470441124,0.03802046398364212,0.04869864057756246,0.04946017031215888
2018-03-31,0.034201147486612626,0.5050503818225511,0.04244560452373847,0.0645309114047734,0.03653547419419567,0.13446330058934208,0.04110979377276891,0.18009036742578743,0.046050703741666865,0.050604168763197066,0.11539379864390398,0.05859382371873778,0.040579126713883085,0.05644888775595547,0.04565450296685469
2018-06-30,0.022729781580110853,0.3320482311978896,0.035533704457044735,0.060024331693863786,0.034659575407509635,0.11847088234479486,0.03132278847128589,0.13462722105173341,0.043435770709766786,0.04220992461783979,0.09405016164064506,0.05038429065890071,0.03424773613133425,0.04792542553916235,0.03531829625427818
2018-09-30,0.004201844759315065,0.07736371353250959,0.023102041655672423,0.031159042603238873,0.021148572098329765,0.05987783967309923,0.012758881579713943,0.0015935762539811549,0.02226873704236354,0.0174180680397491,0.016482290129573585,0.018147284519827167,0.01666678397328525,0.020057924094903257,0.016121033551115715
