date,F1,TCU
2005-12-31,-1.7895933013482166,80.17273333333333
2006-03-31,-1.7735835453415472,80.60476666666666
2006-06-30,-1.7607091717909733,80.74220000000001
2006-09-30,-1.749797472294223,80.61796666666667
2006-12-31,-1.7397024254002482,80.26896666666666
2007-03-31,-1.7293646778024292,80.41106666666667
2007-06-30,-1.7171926051769495,80.88213333333333
2007-09-30,-1.701846668299487,80.77623333333334
2007-12-31,-1.682145017438439,80.9464
2008-03-31,-1.6584009713303831,80.75423333333333
2008-06-30,-1.6356960116437667,79.7066
2008-09-30,-1.6205072638187543,77.06583333333333
2008-12-31,-1.6198973928949416,73.57866666666666
2009-03-31,-1.6370265031903855,69.22233333333334
2009-06-30,-1.6638240464785659,67.108
2009-09-30,-1.6889489155611777,68.1631
2009-12-31,-1.7002910402425595,69.49936666666667
2010-03-31,-1.6897868917719572,71.28696666666667
2010-06-30,-1.6619998578183457,73.17823333333332
2010-09-30,-1.6243641652063545,74.57026666666667
2010-12-31,-1.5852389741048487,75.09500000000001
2011-03-31,-1.5520457186971055,75.60456666666666
2011-06-30,-1.5248095047642922,75.79986666666667
2011-09-30,-1.5035951895988744,76.40249999999999
2011-12-31,-1.4885899163800647,76.76616666666666
2012-03-31,-1.479451405176834,77.06173333333334
2012-06-30,-1.4745399697882804,77.12526666666666
2012-09-30,-1.4721333690752145,76.73880000000001
2012-12-31,-1.4705454789446122,76.76943333333332
2013-03-31,-1.4683280290874317,77.03093333333334
2013-06-30,-1.464925616356963,77.07566666666666
2013-09-30,-1.4600485269350263,77.12216666666667
2013-12-31,-1.4534718222523257,77.452
2014-03-31,-1.4456056023787027,77.84320000000001
2014-06-30,-1.4383066800154645,78.6386
2014-09-30,-1.434229643906596,78.79873333333333
2014-12-31,-1.4361394135027818,79.00123333333333
2015-03-31,-1.4454332118710462,78.14133333333334
2015-06-30,-1.460070647598148,76.92093333333334
2015-09-30,-1.4769417916337766,76.81136666666667
2015-12-31,-1.4925713462036823,75.75326666666666
2016-03-31,-1.503991354885444,75.29866666666668
2016-06-30,-1.5104217512414992,74.772
2016-09-30,-1.5113311642093137,74.9959
2016-12-31,-1.5060941424848233,75.12266666666666
2017-03-31,-1.4946933509438312,75.476
2017-06-30,-1.4772438903630687,76.46283333333334
2017-09-30,-1.4541368380214066,76.2727
2017-12-31,-1.4261290011903647,77.5913
2018-03-31,-1.3958201187107833,77.87043333333334
2018-06-30,-1.3692640826016609,78.479
2018-09-30,-1.3551194462812552,79.10473333333333
2018-12-31,-1.3623797913806848,79.4413
2019-03-31,-1.392632627429436,78.62053333333334
2019-06-30,-1.4247266766651805,77.75146666666667
2019-09-30,-1.430135609122287,77.58616666666667
2019-12-31,-1.3794161257851578,76.96305000000001
2020-03-31,-1.2663921864573113,76.96305000000001
2020-06-30,-1.166923307520948,76.96305000000001
2020-09-30,-1.178994388016791,76.96305000000001
2020-12-31,-1.4040706193414108,76.96305000000001
2021-03-31,-1.8496984820398537,76.96305000000001
2021-06-30,-2.2301041411948357,76.96305000000001
2021-09-30,-2.15698226111009,76.96305000000001
2021-12-31,-1.2327199725253697,76.96305000000001
2022-03-31,0.7344089405685179,76.96305000000001
2022-06-30,3.466082765112181,76.96305000000001
2022-09-30,6.505807041660093,76.96305000000001
2022-12-31,9.337795786143618,76.96305000000001
2023-03-31,11.437407999338856,76.96305000000001
2023-06-30,12.415110689218405,76.96305000000001
2023-09-30,11.751805583686126,76.96305000000001
2023-12-31,8.940414960665032,76.96305000000001
2024-03-31,8.940479523801653,76.96305000000001
2024-06-30,8.940543891133537,76.96305000000001
2024-09-30,8.94060512584861,76.96305000000001
2024-12-31,8.940658825467926,76.96305000000001
