date,A_mean,A_p025,A_p16,A_p50,A_p84,A_p975,HL_mean,HL_p025,HL_p16,HL_p50,HL_p84,HL_p975
2016-03-31,0.3934609602932923,0.10042380006013765,0.27894680977451985,0.37849286650959835,0.5676656054873859,0.6757982433002636,2.004952380952381,0.6746428571428571,0.9563809523809524,1.9833333333333334,3.1100952380952376,3.9024999999999994
2016-06-30,0.3828272205427091,0.1990712486645055,0.2777240280270048,0.36064279875403715,0.49665231139661076,0.5985280603576858,1.7152380952380952,0.3952380952380953,0.8514285714285714,1.5714285714285716,2.636190476190476,3.7666666666666657
2016-09-30,0.35921981723884266,0.16687059626648726,0.2347675921962851,0.36737625342679964,0.4503549558298761,0.6179460217999477,1.8941904761904764,0.29095238095238096,0.8045714285714285,1.7547619047619047,2.968952380952381,3.7264285714285714
2016-12-31,0.3696260562997844,0.21461995370366696,0.27778962454292694,0.369167563503423,0.46632711540845556,0.5514245872441784,1.597142857142857,0.3377380952380953,0.8066666666666666,1.6238095238095238,2.5022857142857142,2.811785714285714
2017-03-31,0.36100923631816473,0.23041160794999638,0.2623488940817293,0.3416201027505832,0.4436896039995537,0.5669731761575645,1.7625714285714287,0.33952380952380956,0.8179047619047619,1.5904761904761906,2.8714285714285714,3.3020238095238095
2017-06-30,0.3202424203907296,0.16835395277562418,0.2528698306617388,0.3154831607440439,0.39349975484246724,0.46853692498648564,1.5470476190476188,0.4730952380952381,0.7931428571428571,1.4833333333333334,2.2729523809523804,2.919523809523809
2017-09-30,0.3881200651944059,0.21908734704561258,0.2802721092480838,0.3968920629764678,0.46646562367422645,0.6128200397033164,1.4765714285714286,0.14880952380952384,0.6801904761904762,1.230952380952381,2.3327619047619037,3.4849999999999994
2017-12-31,0.38850725132000136,0.23232624278328634,0.28602110423387345,0.38761710429554896,0.4847647728515659,0.591261597399468,0.40485714285714286,0.010714285714285718,0.11828571428571429,0.30714285714285716,0.7847619047619047,1.1178571428571427
2018-03-31,0.3734926462206307,0.15057170705555803,0.2260151703675685,0.3750542642208403,0.5208180995168157,0.5851579647159443,0.12685714285714286,0.0,0.023809523809523808,0.1,0.2403809523809523,0.37499999999999994
2018-06-30,0.34837100356951145,0.13529002486777256,0.2524706342596159,0.3431914108202758,0.46833627568833164,0.5563808415801799,0.9185714285714286,0.06464285714285714,0.28895238095238096,0.7523809523809524,1.4158095238095239,3.137738095238095
2018-09-30,0.28143280300429013,0.008050253085310299,0.16096910631226383,0.298741485826009,0.3848828814668544,0.46418035672926283,2.063809523809524,0.5934523809523811,1.1361904761904762,1.7738095238095237,3.290285714285714,3.557142857142857
2018-12-31,0.20998842654230881,0.05352081897517874,0.13215366426381267,0.21372947187859903,0.29534944590568724,0.3743571311758991,2.809428571428571,1.3377380952380953,1.759047619047619,2.9785714285714286,3.634857142857143,4.062142857142857
2019-03-31,0.06408871626708215,-0.06352380643563482,-0.026601938606397448,0.06512752584878662,0.15290207697890681,0.256101728299586,1.3441904761904764,0.6546428571428572,0.9455238095238094,1.3785714285714286,1.5919999999999999,2.264523809523809
2019-06-30,0.10003845209184348,0.006709247472971519,0.043746506251430034,0.0985387398769611,0.14676118751903772,0.20331163752996814,0.01,0.0,0.0,0.0,0.0015238095238094915,0.10261904761904761
2019-09-30,0.061686605471959366,0.021739079406779018,0.0292976161681608,0.03986803058479268,0.10024651145931697,0.18362467427024529,3.618476190476191,3.1376190476190478,3.369904761904762,3.5952380952380953,3.890285714285714,4.092023809523809
2019-12-31,0.4491237963124284,0.22113540421044883,0.3795635400102341,0.4476324013996097,0.5520662482369263,0.6088054817722492,0.46580952380952384,0.17142857142857143,0.29295238095238096,0.46190476190476193,0.6403809523809523,0.7348809523809524
2020-03-31,0.16403845736457373,-0.07204843791470361,0.011951989719972491,0.20058186918895166,0.3086135260524639,0.3630255847445705,0.37314285714285716,0.04238095238095239,0.13276190476190478,0.38809523809523805,0.5769523809523809,0.6835714285714286
2020-06-30,0.3651007791228363,0.16800354759316155,0.2756133358847469,0.38080585710606063,0.4626721257613008,0.5118862159529879,0.7365714285714285,0.2598809523809524,0.5445714285714286,0.7880952380952381,0.9260952380952381,1.035952380952381
2020-09-30,-0.6686712326876167,-1.451217509441647,-0.8983015806398954,-0.5851339109726212,-0.43349118244279733,-0.31073662722125506,0.010476190476190477,0.0,0.0,0.004761904761904762,0.01904761904761905,0.0380952380952381
2020-12-31,-0.8981908235002797,-1.300008054292565,-1.0982078261115535,-0.8847995026072346,-0.6755293697943258,-0.46083084313005995,0.06571428571428571,0.015357142857142857,0.02780952380952381,0.06190476190476191,0.09599999999999997,0.13226190476190475
2021-03-31,0.47960014361043624,0.46369747169050207,0.4756426690946915,0.4779364941159571,0.4796378131828171,0.5230568521387854,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,0.290967763013934,0.29057756821796815,0.29063683089924175,0.29072447822860975,0.29105676483863796,0.2934712949641224,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,0.16039898148891052,0.1594969217670512,0.16013258423362725,0.16040629969046266,0.16071919008472346,0.16116064227205618,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.1319989667070075,0.01583451976984715,0.10759162304741672,0.1401811873068341,0.15899650799522907,0.1787746719211834,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,0.7950524686963878,0.6482022825697941,0.7113453485606466,0.80894620661798,0.872549021971217,0.8908356232690455,0.18885714285714283,0.1276190476190476,0.1619047619047619,0.18571428571428572,0.21904761904761905,0.25976190476190475
2022-06-30,0.8357866654174444,0.7271763767967357,0.7758705224504459,0.8566648673907507,0.8881125114890449,0.9096344598996468,0.0015238095238095239,0.0,0.0,0.0,0.004761904761904762,0.008452380952380947
2022-09-30,0.9404271994186892,0.8556907728945427,0.9225991594270542,0.954510611617646,0.9609696916621936,0.9638331702061438,0.08047619047619048,0.047619047619047616,0.0761904761904762,0.0761904761904762,0.08571428571428572,0.11214285714285713
2022-12-31,0.05487244173645396,-0.026795306557621877,-0.010316660394914157,0.03973506942613783,0.11071063766023652,0.20609614892433842,0.9801904761904762,0.7386904761904761,0.8643809523809524,1.0047619047619047,1.1047619047619048,1.1666666666666667
2023-03-31,0.25761146189111345,-0.007205960065165138,0.1407458916500836,0.2794456161556841,0.38192736576949615,0.4348706031241452,1.0265714285714287,0.7735714285714286,0.8809523809523809,1.0166666666666666,1.1537142857142855,1.3258333333333332
2023-06-30,0.16097348957833207,-0.02353438278126546,0.05008912508593289,0.15325884256631772,0.28428920011867603,0.33673255791296636,1.1315238095238096,0.8498809523809524,0.9841904761904763,1.111904761904762,1.296,1.363452380952381
2023-09-30,0.1585805323111401,-0.23244278067936971,0.027355227073937102,0.18472289405410547,0.32305257774387675,0.39270025919842677,1.1934285714285715,0.8308333333333333,0.9984761904761905,1.1785714285714286,1.4070476190476189,1.585595238095238
2023-12-31,0.08234336457402419,-0.3007862901865483,-0.05714959536269171,0.12856268321911218,0.25922806278776295,0.35024447339776676,1.231142857142857,1.0011904761904762,1.0809523809523809,1.1761904761904762,1.372952380952381,1.71
2024-03-31,0.1037686496088084,-0.3075963428172985,-0.07348279324411916,0.08991989603159162,0.3046540881548824,0.42535493478584374,1.2467619047619047,0.9678571428571429,1.0841904761904761,1.2095238095238094,1.4419047619047618,1.5682142857142858
2024-06-30,0.11141766604352972,-0.22051946991009386,-0.04756225126217416,0.11152133858214916,0.2953057683975646,0.37274690226579377,1.220952380952381,0.9286904761904762,1.0445714285714287,1.2023809523809526,1.3845714285714283,1.5770238095238094
2024-09-30,0.06979218617307073,-0.25034174565093825,-0.11814988085277268,0.09695592015382834,0.27196948163231655,0.3765355549738394,1.343047619047619,1.0577380952380953,1.1763809523809523,1.3047619047619048,1.5426666666666666,1.730595238095238
2024-12-31,0.08581870634560695,-0.32878769181388,-0.07168982108198307,0.0783782326487873,0.2778019662766806,0.30022111552916175,1.2882857142857143,0.8936904761904761,1.108,1.3023809523809524,1.4857142857142858,1.629047619047619
