iso3,quarter_t,gdp_current_usd,gdp_ppp_current_usd,total_exports_usd_k,total_imports_usd_k,population,exchange_rate,tariff_ahs_weighted,tariff_mfn_weighted
AUS,2019Q4,347132.3856162317,322156.9080889933,58318138.62932062,71901522.60679674,25.589211139726356,1.4468473745103756,4.588538306451613,7.044921875
AUS,2020Q1,348576.86845879257,323935.72549058124,56038426.468002796,66162733.722340584,25.653546491397552,1.4507092131999755,3.9721471774193553,6.215078125
AUS,2020Q2,348758.96159716696,325217.5213200711,54255690.33321476,62519468.82782078,25.714294926765415,1.452806648895135,3.488686155913979,5.5971093750000005
AUS,2020Q3,359481.7273191847,327781.27791474387,55362719.69510603,64471530.03523874,25.772247525529888,1.4478489092578124,3.3592044690860217,5.50013671875
AUS,2020Q4,380745.16562485695,331626.99527460337,59359514.553676605,72018917.34459972,25.82540603005438,1.4145275808984374,3.307774697580645,5.50369140625
AUS,2021Q1,413270.03525431454,336145.50489539653,54297560.178007126,71606251.76171923,25.87641800540186,1.3697817971015624,3.271539818548387,5.51708984375
AUS,2021Q2,439950.29653494805,339967.2764494084,51459812.54982424,72927653.18543863,25.928714891016362,1.3364604687421875,3.25247563844086,5.54689453125
AUS,2021Q3,451512.17089031637,343016.71327700093,68436264.39090824,94385560.5593605,25.985315530560328,1.3348669937533615,3.2525579637096778,5.59966796875
AUS,2021Q4,447955.6583204195,345293.8153781928,105226915.70126057,135979973.8834815,26.045385171251844,1.3590791635528592,3.2737626008064513,5.681972656250001
AUS,2022Q1,442045.85407146066,347786.7641405761,459713097.29723406,349604894.1499553,26.107366634160126,1.3949053803485154,,
AUS,2022Q2,443653.2383920513,350602.0018809736,955717354.3158646,632357141.0543156,26.169916378631925,1.4291997768672802,,
AUS,2022Q3,444947.95616029575,352804.56837019697,1207269628.5093136,780891123.4521809,26.231902552763007,1.4515654932792044,,
AUS,2022Q4,445930.007376194,354394.46360825375,1214369919.8775883,795206841.3435478,26.293861534182284,1.4700580232003126,,
AUS,2023Q1,446122.76002233475,356099.9085071236,1208320290.0987473,805546719.3177252,26.356219812443836,1.4863103149451877,,
AUS,2023Q2,446724.6946538612,358063.81436831504,1342055245.5445843,894700920.0758085,26.419259942329184,1.4997293445220292,,
AUS,2023Q3,448811.6835657656,359629.415930599,1460739977.7229176,973822100.3790417,26.483217752602048,1.5097220879390376,,
AUS,2023Q4,452383.72675803676,360796.7131939642,1564374486.633751,1042910260.2274246,26.547984590239107,1.5156955212044128,,
AUS,2024Q1,456262.1392596029,361910.680759944,,,26.613512996330964,,,
AUS,2024Q2,459435.4811517149,363232.10779056326,,,26.67978992113065,,,
AUS,2024Q3,462576.7174460478,364546.41426530853,,,26.746802314891188,,,
AUS,2024Q4,465685.8481426351,365853.60018418357,,,26.814537127865623,,,
BRN,2005Q1,2205.265496681514,6265.606582964547,366212.54871602386,1396499.2613580686,0.3568814754925037,1.6910300209926505,2.2801411877648308,4.932698759191177
BRN,2005Q2,2329.253082552523,6336.018005357579,392890.13244337303,1505685.111846781,0.35822983726068214,1.6733805405051556,2.256617948887712,4.75030215992647
BRN,2005Q3,2444.8487999355048,6405.2993036965145,417353.8343636745,1605309.7902443558,0.3596086772444195,1.655310939761128,2.2204424324682206,4.570304457720589
BRN,2005Q4,2552.0526488304586,6473.4504779813615,439603.6544769285,1695373.2965507945,0.3610171550534108,1.6368333014039036,2.1734022444385594,4.392760799632353
BRN,2006Q1,2701.070284402238,6568.785199878937,446081.2723828594,1844811.245639599,0.3624544302973513,1.6179597080768187,2.1172849907309326,4.217726332720589
