iso3,quarter_t,date_quarterly,year,quarter,exchange_rate,GDP-CAP,gdp_ppp_current_usd,GDP-PPP-CAP,gdp_current_usd,GDP-VOL,population,total_exports_usd_k,total_imports_usd_k,tariff_ahs_weighted,tariff_mfn_weighted,date,TCU
IDN,2015Q2,2015-06-30,2015,2,12740.165827715393,3338.6485862174054,2560163.643603538,9833.961052453593,869108.379652156,898420.8925549273,260.3386416354529,175843969.41428193,190184868.07225457,4.729240202662107,7.346861729409245,2015-06-30,76.92093333333334
IDN,2015Q3,2015-09-30,2015,3,13123.247630159083,3300.3514204332264,2591061.4715601765,9924.68005097136,861579.9455647916,909263.658105624,261.07221237044206,164955087.95498356,183326054.38005084,5.068462111061296,7.671270029332345,2015-09-30,76.81136666666667
IDN,2015Q4,2015-12-31,2015,4,13389.41294,3288.2226985,2622495.112,10017.198758,860854.233,920294.4527,261.799249,156079173.31,177048641.78,5.29,7.92,2015-12-31,75.75326666666666
IDN,2016Q1,2016-03-31,2016,1,13499.3656217559,3310.9596216363493,2654205.9184028846,10110.833609363835,869202.1261865429,931422.5112671924,262.5117789433731,150762510.61365676,172138497.3635329,5.306655907874703,8.017564435376626,2016-03-31,75.29866666666668
IDN,2016Q2,2016-06-30,2016,2,13489.372187199782,3362.9754622676605,2686604.1563880215,10206.816801562603,885233.5522722967,942791.8055400304,263.2179306315507,148393982.44608414,168943125.9124238,5.1789494486781305,7.996885179681405,2016-06-30,74.772
IDN,2016Q3,2016-09-30,2016,3,13408.556237007208,3436.325691507892,2720125.522008876,10306.45573314648,906948.700297495,954555.2313802262,263.92564513930046,147986691.9674501,167809002.19330534,4.997824232145385,7.91211924441267,2016-09-30,74.9959
IDN,2016Q4,2016-12-31,2016,4,13308.326802,3521.4694344,2754487.105,10408.925597,931877.364,966613.509,264.627418,148558661.51,169139141.75,4.86,7.82,2016-12-31,75.12266666666666
IDN,2017Q1,2017-03-31,2017,1,13235.995379035872,3607.4483618567306,2788886.500187914,10511.782235075649,957116.2897899618,978685.055786238,265.30828298689613,149423787.501967,173024691.79274076,4.833447357328963,7.76768048395956,2017-03-31,75.476
IDN,2017Q2,2017-06-30,2017,2,13211.389256232227,3688.4698109579153,2824039.417880594,10616.915405607422,981162.7841451316,991021.0311263258,265.99038011589124,151363264.09083313,179160437.10365328,4.875825368009204,7.757031548664601,2017-06-30,76.46283333333334
IDN,2017Q3,2017-09-30,2017,3,13253.565679583642,3755.566488035219,2859429.3797608386,10722.476781728055,1001568.7993182612,1003440.190802754,266.6726403691523,155552143.5698322,187064736.12362957,4.921196223795242,7.783157534953021,2017-09-30,76.2727
IDN,2017Q4,2017-12-31,2017,4,13380.83388,3798.8832611,2894133.703,10825.396976,1015618.744,1015618.744,267.346658,163135669.15,196117537.93,4.9,7.84,2017-12-31,77.5913
IDN,2018Q1,2018-03-31,2018,1,13592.193528959637,3814.170266137018,2927343.9025165727,10923.264714415616,1022089.6497297268,1027272.974531918,267.997649677786,174010056.2515967,205240486.2243437,4.775052388754812,7.920039080134873,2018-03-31,77.87043333333334
IDN,2018Q2,2018-06-30,2018,2,13846.257229824208,3816.769077713108,2961914.2138473685,11025.640757128263,1025211.8864942758,1039404.4999242098,268.6488723813755,184774733.02190065,212641807.63871303,4.6144600747709505,8.023768489933413,2018-06-30,78.479
IDN,2018Q3,2018-09-30,2018,3,14082.892691328778,3825.771810674574,3000123.5287095807,11140.727918400204,1030161.5632030984,1052813.0361802075,269.30201704551916,190622773.32796896,215798276.5579669,4.517998934574195,8.151059789558127,2018-09-30,79.10473333333333
IDN,2018Q4,2018-12-31,2018,4,14236.938773,3860.9535238,3043884.618,11275.657705,1042271.533,1068169.819,269.9518465,186547509.4,212110525.57,4.59,8.3,2018-12-31,79.4413
IDN,2019Q1,2019-03-31,2019,1,14267.756789174104,3931.659199163204,3092456.257193268,11428.21226981392,1064005.6328127591,1085214.7354536485,270.58552593056595,171221727.88741973,201255044.66560167,4.882611039952078,8.46074066126723,2019-03-31,78.62053333333334
IDN,2019Q2,2019-06-30,2019,2,14220.893575750097,4017.274939250999,3140330.1787839225,11577.573249520145,1089808.3873461352,1102014.806539714,271.22254553407544,154721361.2274149,189688449.75986043,5.299127148439481,8.611699936608012,2019-06-30,77.75146666666667
IDN,2019Q3,2019-09-30,2019,3,14158.772371785204,4086.7056317266233,3178341.377267725,11690.4256480153,1111186.4850481795,1115353.8189596592,271.8603349930899,150809029.2383716,186148622.11553273,5.6962291702492385,8.719793821367821,2019-09-30,77.58616666666667
IDN,2019Q4,2019-12-31,2019,4,14147.671361,4106.9485603,3196665.944,11731.341355,1119099.871,1121784.335,272.489381,173708752.76,199677042.34,5.92,8.75,2019-12-31,76.96305000000001
IDN,2020Q1,2020-03-31,2020,1,14231.205569037316,4059.221367926724,3190007.6134858117,11681.461230091963,1108392.592397594,1119447.7720981007,273.0999138614074,226320710.14826,232267107.5310979,5.863404989400437,8.680926040147952,2020-03-31,
IDN,2020Q2,2020-06-30,2020,2,14370.557426713814,3973.454840022591,3168082.84119566,11576.313308914623,1087260.383877546,1111753.860194723,273.6932372212013,271489319.61248827,261032906.2788649,5.581992280545536,8.532474134772993,2020-06-30,
IDN,2020Q3,2020-09-30,2020,3,14508.237069598668,3890.393568413462,3143731.6729331883,11462.887676110762,1066849.753305362,1103208.4696352617,274.2692394988919,261230970.1318348,256401713.6670414,5.1620796875721755,8.331642142024268,2020-09-30,
IDN,2020Q4,2020-12-31,2020,4,14582.20347,3853.7028959,3130638.431,11391.808901,1059054.843,1098613.747,274.8148655,145945189.94,187775204.63,4.7,8.11,2020-12-31,
IDN,2021Q1,2021-03-31,2021,1,14553.33406374622,3893.086397745515,3138581.2308467748,11399.434508356377,1071948.0092485305,1101401.0601310718,275.3161173224715,-77903370.64810993,53258870.50960907,4.297770701657876,7.902171123889825,2021-03-31,
IDN,2021Q2,2021-06-30,2021,2,14459.842866778788,3994.770513917812,3164537.770190801,11473.458402893104,1101897.7465277757,1110509.8129075924,275.799693201089,-270618069.9176697,-59016122.01358965,4.03193213913796,7.730264333312353,2021-06-30,
IDN,2021Q3,2021-09-30,2021,3,14358.049800798548,4135.107737502023,3202750.84040781,11592.151898410995,1142519.2794289186,1123919.667026707,276.27776124926555,-242167851.1523552,-29439699.972757872,3.999943435955192,7.625380103341172,2021-09-30,
IDN,2021Q4,2021-12-31,2021,4,14308.1439,4287.1578375,3246567.706,11730.707276,1186505.456,1139296.023,276.758053,202125597.34,264351623.59,4.3,7.62,2021-12-31,
IDN,2022Q1,2022-03-31,2022,1,14352.572186559457,4425.695906380629,3289699.350708619,11866.036469773968,1226958.2074423437,1154431.9189005755,277.2409996243684,1156529359.4270911,880972246.869208,,,2022-03-31,
IDN,2022Q2,2022-06-30,2022,2,14476.623948157485,4548.553462536246,3332723.0582268145,11999.36299450878,1263331.2277021927,1169529.9370447495,277.74649049160087,2485710760.3794565,1734379809.6563053,,,2022-06-30,
IDN,2022Q3,2022-09-30,2022,3,14652.886648333124,4651.865524591419,3375868.881965597,12131.428799798854,1294513.16503289,1184670.8086030595,278.27737812997213,3967694731.270042,2683228206.55225,,,2022-09-30,
IDN,2022Q4,2022-12-31,2022,4,14849.85394,4730.8314018,3418914.837,12261.623056,1319100.22,1199776.634,278.8305285,5351580000.0,3567730000.0,,,2022-12-31,
IDN,2023Q1,2023-03-31,2023,1,15033.244512237325,4783.372043918469,3461139.3859973103,12387.949677027407,1336412.7377542178,1214594.2090882638,279.393927814066,6381915715.749425,4225275551.057861,,,2023-03-31,
IDN,2023Q2,2023-06-30,2023,2,15179.941837503982,4819.001111817111,3504025.195904072,12515.147064903174,1349167.6437287852,1229643.8361091255,279.98055525461547,6869464459.088388,4535506489.846438,,,2023-06-30,
IDN,2023Q3,2023-09-30,2023,3,15258.626393237171,4846.8711165027835,3547622.3774358863,12643.6499650927,1359902.808694153,1244943.1000268732,280.5838150972447,6561806687.068295,4337699154.949112,,,2023-09-30,
IDN,2023Q4,2023-12-31,2023,4,15236.88466,4876.4033313,3591505.274,12772.518314,1371196.177,1260342.628,281.1900665,5212160000.0,3474770000.0,,,2023-12-31,
IDN,2024Q1,2024-03-31,2024,1,,4916.94695591431,3635235.8403674504,12900.796202131243,1385601.4892358466,1275688.6997261865,281.7855389065411,,,,,2024-03-31,
IDN,2024Q2,2024-06-30,2024,2,,4978.37021196599,3679332.4789663176,13030.326621448994,1405884.9986944366,1291163.23460885,282.3697773978932,,,,,2024-06-30,
IDN,2024Q3,2024-09-30,2024,3,,5071.461628462671,3724329.72751806,13163.007771485318,1435072.05080549,1306953.8142965608,282.94183190002263,,,,,2024-09-30,
IDN,2024Q4,2024-12-31,2024,4,,5205.5729265,3769789.585,13297.883894,1475717.096,1322906.734,283.4879305,,,,,2024-12-31,
JPN,2005Q4,2005-12-31,2005,4,110.21821167,37771.407445,4874548.637,38108.214507,4831466.524,4579589.676,127.9133305,494448580.74,664493650.39,8.12,8.69,2005-12-31,80.17273333333333
JPN,2006Q1,2006-03-31,2006,1,111.0105836212348,37509.09302627766,4886745.1261687195,38198.140764628144,4798677.0414081365,4591048.155911434,127.931594588494,522093043.6866722,683429462.9865851,7.999440963200419,8.64375967408772,2006-03-31,80.60476666666666
JPN,2006Q2,2006-06-30,2006,2,112.49983114048932,37055.21960595283,4902645.753190582,38316.30906925935,4741372.294955912,4605986.636123607,127.9520259580409,538031736.862308,697023209.8467079,7.926245160241937,8.602308708220827,2006-06-30,80.74220000000001
JPN,2006Q3,2006-09-30,2006,3,114.37888547323696,36501.40940867537,4921294.9761385415,38455.39282727176,4671282.53209309,4623507.3945884295,127.97416093338016,545474499.1529115,707366761.4312205,7.887627157234997,8.562142886825514,2006-09-30,80.61796666666667
JPN,2006Q4,2006-12-31,2006,4,116.29931167,35951.262632,4941444.511,38605.865419,4601662.661,4642437.681,127.9972475,547853147.96,716597290.38,7.87,8.52,2006-12-31,80.26896666666666
JPN,2007Q1,2007-03-31,2007,1,117.89590333956843,35512.19388954073,4961559.174733862,38756.05091552529,4546247.038577458,4661335.206289849,128.0202366167203,548803103.3963045,726772562.0543156,7.859006173101417,8.473266747114222,2007-03-31,80.41106666666667
JPN,2007Q2,2007-06-30,2007,2,118.90385554930076,35263.66929697888,4981252.178533358,38902.854510965866,4515236.130416151,4679836.586279794,128.0433705192356,551908816.21742,740439250.5420824,7.840087341943682,8.416876899661508,2007-06-30,80.88213333333333
JPN,2007Q3,2007-09-30,2007,3,118.97318957331652,35310.04258465815,4999428.297239231,39037.87910909702,4521990.174452316,4696912.867927476,128.06611674790184,560849455.6782407,759985275.6486877,7.798584957853104,8.34684755220133,2007-09-30,80.77623333333334
JPN,2007Q4,2007-12-31,2007,4,117.75352917,35754.802605,5014774.036,39151.103039,4579749.786,4711330.036,128.087682,579276942.25,787596892.23,7.72,8.26,2007-12-31,80.9464
JPN,2008Q1,2008-03-31,2008,1,115.1016205748953,36629.06068226046,5024978.487220027,39224.6979084906,4692484.628926486,4720917.015950666,128.1073982233508,607849863.1861296,822576972.7144942,7.594956292604606,8.153821145333893,2008-03-31,80.75423333333333
JPN,2008Q2,2008-06-30,2008,2,111.44339182531506,37756.09490296382,5023568.590843037,39208.171019139365,4837555.435907525,4719592.432571607,128.12535717559587,637350300.6838713,854748697.1794344,7.426234675633917,8.023525898103474,2008-06-30,79.7066
JPN,2008Q3,2008-09-30,2008,3,107.31668775966858,38913.38485103005,5002401.890247829,39038.01368311332,4986453.568832767,4699706.529268602,128.14164967065622,655933177.3387094,871193356.4703324,7.218322902111774,7.86320044158297,2008-09-30,77.06583333333333
