country,indicator,v1960,v1961,v1962,v1963,v1964,v1965,v1966,v1967,v1968,v1969,v1970,v1971,v1972,v1973,v1974,v1975,v1976,v1977,v1978,v1979,v1980,v1981,v1982,v1983,v1984,v1985,v1986,v1987,v1988,v1989,v1990,v1991,v1992,v1993,v1994,v1995,v1996,v1997,v1998,v1999,v2000,v2001,v2002,v2003,v2004,v2005,v2006,v2007,v2008,v2009,v2010,v2011,v2012,v2013,v2014,v2015,v2016,v2017,v2018,v2019,v2020,v2021,v2022,v2023,v2029,v2024,v2025,v2026,v2027,v2028,pop2029
ABW,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,NA,NA,NA,NA,NA,NA,NA
AES,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFA,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,EXCH,17.196560688,17.196560688,17.196560688,35.109644738,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.692261548,38.378708983,34.929630774,34.929630774,34.929630774,34.929630774,33.84616432,34.369458402,38.561658516,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,39.27642927,38.818463,36.567144624,47.5,47.5,47.5,46.619531077,47.357574731,47.500014516,47.263,48.762753583,47.8453125,49.4945975,49.925330833,49.96201777,50.249614744,50.325,46.452461001,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.866085769,68.02690408,72.083247177,77.737949178,76.81353644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFN,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFS,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFZ,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,EXCH,2.87e-8,2.87e-8,2.87e-8,2.88e-8,2.88e-8,2.88e-8,2.88e-8,2.88e-8,2.87e-8,2.86e-8,2.86e-8,2.82e-8,2.71e-8,2.45e-8,2.54e-8,2.56e-8,2.94e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,2.99e-8,5.51e-8,2.514e-7,2.6602e-6,5.9515e-5,0.0027502296,0.1280291667,0.2290400833,0.3928235175,2.7907061667,10.040544167,22.057861667,43.530206667,74.606300833,83.5413625,87.159141667,80.368072056,76.70614275,75.033354167,79.328166667,91.905720341,93.93475,95.467955421,96.51827948,98.30241686,120.0607017,163.65643412,165.9159507,252.85574773,364.82580498,578.2587803,631.4419555,460.5675116,685.0202378,NA,NA,NA,NA,NA,NA,NA
AIA,EXCH,1.7096170284,1.712910957,1.7095242519,1.714117763,1.718882995,1.7166056081,1.7184425663,1.7507247462,2.0052830967,2.0080879594,2.0033761096,1.9643663952,1.9218721471,1.9592192321,2.053232409,2.1697958333,2.6146708333,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,NA,NA,NA,NA,NA,NA,NA
ALB,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.0325,102.0625,94.623333333,92.6975,104.49891667,148.93291667,150.63333333,137.69058333,143.70941667,143.48483333,140.15451588,121.86325,102.7800512,99.870254481,98.103377091,90.427893831,83.894604101,94.97811982,103.93666667,100.8958333,108.18416667,105.6691667,105.48,125.9616667,124.1425,119.1,107.98916667,109.85083333,108.65,103.52,113.0416667,100.645,NA,NA,NA,NA,NA,NA,NA
AMA,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AME,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMN,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMS,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANE,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANT,EXCH,1.8858600009,1.8858516676,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8858500009,1.8834179535,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.7999999996,1.8,1.8,1.8,1.8,1.7933333333,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOA,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOZ,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,EXCH,NA,NA,NA,NA,NA,NA,4.7619000038,4.7619000038,4.7619000038,4.7619000038,4.7619000038,4.7479628849,4.3859778425,3.9962713139,3.9590451557,3.961284999,3.953072499,3.903247499,3.8712108323,3.8156758323,3.707364999,3.670999999,3.670999999,3.670999999,3.6709999996,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671125,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,NA,NA,NA,NA,NA,NA,NA
ARG,EXCH,8.3e-12,8.3e-12,8.7e-12,1.39e-11,1.4e-11,1.7e-11,2.09e-11,3.33e-11,3.5e-11,3.5e-11,3.79e-11,NA,1e-10,1e-10,1e-10,4e-10,1.4e-9,4.1e-9,8e-9,1.32e-8,1.84e-8,4.4e-8,2.592e-7,1.053e-6,6.7649e-6,6.01809e-5,9.43032e-5,2.144298e-4,8.752604e-4,0.0423339608,0.4875890833,0.9535544167,0.9906416667,0.9989458333,0.9990083333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.0632566667,2.9006291667,2.9233008189,2.9036575,3.0543133333,3.0956488492,3.1441645599,3.7101068305,3.8962951545,4.110139576,4.5369343602,5.459352665,8.075275993,9.233185525,14.758175087,16.56270693,28.094991667,48.147891667,70.53916667,94.99074167,130.61655,296.2580417,NA,NA,NA,NA,NA,NA,NA
ARM,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.105,288.65083333,405.90833333,414.0415,490.84678575,504.915,535.06183333,539.52583333,555.07825833,573.35333333,578.76295455,533.45083333,457.68694063,416.04036972,342.07911621,305.96940026,363.28328561,373.66046674,372.5008824,401.76397563,409.6257493,415.9197892,477.9183066,480.48815078,482.7163938,482.98794659,480.44512877,489.0088586,503.769675,435.6661797,392.4763022,NA,NA,NA,NA,NA,NA,NA
ASO,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASS,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,EXCH,1.7142900007,1.7142900007,1.7142900007,1.7142900007,1.7142900007,1.7142900007,1.7142900007,1.7619083341,2.000000001,2.000000001,2.000000001,1.9748727332,1.9212781495,1.959219236,2.0532324085,2.1697958323,2.6146708328,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,NA,NA,NA,NA,NA,NA,NA
AUS,EXCH,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8826702593,0.8386978073,0.704113908,0.6966658686,0.763871249,0.8182840823,0.901824999,0.873659249,0.8946409157,0.8782443323,0.8702145823,0.9858628323,1.1100149992,1.1395191659,1.4318949995,1.4959741664,1.42818,1.2799083333,1.2645966667,1.2810566667,1.2837558333,1.3616483333,1.47056,1.3677508333,1.3490325,1.2778633333,1.34738,1.5918283333,1.54995,1.7248266667,1.9334425,1.8405625,1.5419141667,1.3597525,1.3094733333,1.3279734405,1.1950725,1.1921783333,1.2821888101,1.0901594864,0.969463201,0.9658010307,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.3384121465,1.4385065442,1.453085118,1.33122426,1.441664459,1.505191066,NA,NA,NA,NA,NA,NA,NA
AUT,EXCH,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8894936884,1.8157743654,1.6798543636,1.422934093,1.3584369527,1.2657209509,1.3037288431,1.201056663,1.0553330959,0.9714541107,0.9402411285,1.1574456952,1.2397404126,1.305443922,1.4541180061,1.5035646025,1.1095034265,0.918766306,0.8973423545,0.961512467,0.8262755899,0.8485207445,0.7986235765,0.8453449416,0.8300545773,0.7326511777,0.7693582262,0.8869138028,0.8996242814,0.9382830724,1.0827050813,1.1165330856,1.0575589962,0.8840479272,0.8039216477,0.8038001922,0.7964327309,0.7296724,0.67992268,0.716957702,0.7543089901,0.718413899,0.77833812040000006,0.752945123,0.752728197,0.901296423,0.9034214363,0.885205508,0.8467726671,0.8932762571,0.875506397,0.845494139,0.949623753,0.924839558,NA,NA,NA,NA,NA,NA,NA
AZE,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01084,0.019995,0.314045,0.8827085,0.8602528333,0.797075,0.7737996867,0.8240333333,0.89483075,0.9313166667,0.9721641667,0.982146,0.9826955,0.945421,0.893445,0.8581238082,0.8216195789,0.8037833333,0.80265,0.789686389,0.7856453495,0.784541075,0.7843475,1.024563819,1.5957215727,1.721154802,1.7000166667,1.7,1.7,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA,NA
BAL,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,EXCH,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,84.37500008,87.500000088,87.500000088,87.500000088,87.500000088,87.500000088,87.50000008,87.5,80.026083333,78.75,78.75,86.25,90,90,90,90,90,90,92.948333333,119.70916667,120.69075,114.17108333,123.56383333,140.395,158.66666667,171.25541667,181.51258333,208.30266667,242.78,252.6625,249.7575,302.74666667,352.35083333,447.76583333,563.5625,720.67333333,830.35333333,930.74916667,1082.62,1100.9,1081.5771667,1028.683553,1081.8696825,1185.6908333,1230.1791667,1230.7483333,1261.073333,1442.505625,1555.090833,1546.686667,1571.898333,1654.6266667,1729.055,1782.876875,1845.6228907,1915.046176,1975.950881,2034.306634,2574.051749,NA,NA,NA,NA,NA,NA,NA
BEL,EXCH,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2160912645,1.0910934335,0.9662021968,0.965582463,0.9117251158,0.9569979103,0.888517324,0.7806687672,0.7267915885,0.7248828083,0.920408826,1.1326403883,1.2675217341,1.4324254646,1.4719421714,1.1073874749,0.9254881643,0.9114623487,0.976799645,0.8284081022,0.8465142452,0.7969652875,0.857624833,0.8293649712,0.730790111,0.7675155367,0.8868118166,0.8998187898,0.9382830724,1.0827050813,1.1165330856,1.0575589962,0.8840479272,0.8039216477,0.8038001922,0.7964327309,0.7296724,0.67992268,0.716957702,0.7543089901,0.718413899,0.77833812040000006,0.752945123,0.752728197,0.901296423,0.9034214363,0.885205508,0.8467726671,0.8932762571,0.875506397,0.845494139,0.949623753,0.924839558,NA,NA,NA,NA,NA,NA,NA
BEN,EXCH,245.1951014,245.26010162,245.01385069,245.0163507,245.02718408,245.06093421,245.67843656,246.00093779,247.56469376,259.96057435,276.40313703,275.35645669,252.02762746,222.88918305,240.70466764,214.31290034,238.95049427,245.67968657,225.65586023,212.72164426,211.27955541,271.73145255,328.6062527,381.06603602,436.95666579,449.26296271,346.30590355,300.5365624,297.84821882,319.00829949,272.26478795,282.10690881,264.69180075,283.1625795,555.20469566,499.1484259,511.55243027,583.66937235,589.95177457,615.47334932,710.20797703,732.39769326,693.7132265,579.89742617,527.33803229,527.25836265,522.4256249,478.63371848,446.00004143,470.29342334,494.79426222,471.2486257,510.55633845,493.8996239,493.7573299,591.211698,592.60561506,580.6567496,555.4464584,585.95081376,574.2945496,554.6077989,622.9123482,606.6549823,NA,NA,NA,NA,NA,NA,NA
BFA,EXCH,245.1951014,245.26010162,245.01385069,245.0163507,245.02718408,245.06093421,245.67843656,246.00093779,247.56469376,259.96057435,276.40313703,275.35645669,252.02762746,222.88918305,240.70466764,214.31290034,238.95049427,245.67968657,225.65586023,212.72164426,211.27955541,271.73145255,328.6062527,381.06603602,436.95666579,449.26296271,346.30590355,300.5365624,297.84821882,319.00829949,272.26478795,282.10690881,264.69180075,283.1625795,555.20469566,499.1484259,511.55243027,583.66937235,589.95177457,615.47334932,710.20797703,732.39769326,693.7132265,579.89742617,527.33803229,527.25836265,522.4256249,478.63371848,446.00004143,470.29342334,494.79426222,471.2486257,510.55633845,493.8996239,493.7573299,591.211698,592.60561506,580.6567496,555.4464584,585.91101318,575.5860045,554.530675,623.7597009,606.5697502,NA,NA,NA,NA,NA,NA,NA
BGD,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.868842585,7.7001841681,7.8498159993,8.2260022412,12.186180037,15.399168604,15.375099999,15.016116666,15.551924999,15.454058333,17.986691666,22.117883332,24.615425,25.353933385,27.994591667,30.4069,30.949833333,31.733248598,32.27,34.568808333,36.596183333,38.950758333,39.5672575,40.211739167,40.278318333,41.794168333,43.892115833,46.905651667,49.0854,52.141666667,55.806666667,57.888,58.15004,59.512658333,64.327475,68.933233333,68.874875,68.598275,69.039066667,69.649291667,74.1524,81.862658333,78.103235,77.64140833,77.94690833,78.468091667,80.43754167,83.466201917,84.4535225,84.87139167,85.08376325,91.74545444,106.3094843,NA,NA,NA,NA,NA,NA,NA
BGR,EXCH,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00108,9.791667e-4,9.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00103,9.4e-4,8.7e-4,8.3e-4,8.4e-4,0.00219,0.01778825,0.0233411667,0.0275935833,0.0541336667,0.0671708333,0.1778886667,1.6818791667,1.7603583333,1.8363833333,2.123275,2.1847083333,2.076975,1.7327016667,1.5751089167,1.5741333333,1.5592666667,1.42905,1.3371166667,1.4066916667,1.4773916667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.7680416667,1.735458333,1.6570416667,1.7470416667,1.716333333,1.653775,1.860141667,1.808966667,NA,NA,NA,NA,NA,NA,NA
BHR,EXCH,0.47619,0.47619,0.47619,0.47619,0.47619,0.47619,0.4761899995,0.4761899995,0.4761899995,0.4761899995,0.4761899995,0.4747962876,0.4385977834,0.3996303072,0.394739999,0.395499999,0.3955991657,0.395649999,0.3874533323,0.3816174993,0.3770002347,0.375999999,0.375999999,0.375999999,0.3759999996,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.3759999892,0.375999965,0.3759999708,0.3759999675,0.375999965,0.3759999625,0.3759999792,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,NA,NA,NA,NA,NA,NA,NA
BHS,EXCH,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
BIH,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7340558333,1.7596675833,1.8357953849,2.1228595119,2.1856595833,2.0781704262,1.7329322042,1.575157028,1.5727220196,1.5590719561,1.4290027416,1.3351956805,1.4078912384,1.4767395685,1.406936586,1.5222099745,1.473051323,1.474169187,1.763491647,1.7681390243,1.735352713,1.6569854411,1.7470864614,1.716970495,1.653606154,1.859325877,1.8092028,NA,NA,NA,NA,NA,NA,NA
BLR,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.641113e-4,0.0011520967,0.0013229877,0.002602055,0.004612762,0.0249295329,0.087675,0.139,0.1790916667,0.2051270833,0.21602575,0.215382,0.2144564167,0.2146078333,0.21363975,0.2793049218,0.297851,0.497463333,0.8336898333,0.88800525,1.02241025,1.592598833,1.9895628333,1.932341667,2.0376083333,2.0917833333,2.439575,2.538675,2.6261,3.00735,NA,NA,NA,NA,NA,NA,NA
BLX,EXCH,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2394676239,1.2160912645,1.0910934335,0.9662021968,0.965582463,0.9117251158,0.9569979103,0.888517324,0.7806687672,0.7267915885,0.7248828083,0.920408826,1.1326403883,1.2675217341,1.4324254646,1.4719421714,1.1073874749,0.9254881643,0.9114623487,0.976799645,0.8284081022,0.8465142452,0.7969652875,0.857624833,0.8293649712,0.730790111,0.7675155367,0.8868118166,0.8998187898,0.9382830724,1.0827050813,1.1165330856,1.0575589962,0.8840479272,0.8039216477,0.8038001922,0.7964327309,0.7296724,0.67992268,0.716957702,0.7543089901,0.718413899,0.77833812040000006,0.752945123,0.752728197,0.901296423,0.9034214363,0.885205508,0.8467726671,0.8932762571,0.875506397,0.845494139,0.949623753,0.924839558,NA,NA,NA,NA,NA,NA,NA
BLZ,EXCH,1.4285700004,1.4285700004,1.4285700004,1.4285700004,1.4285700004,1.4285700004,1.4285700004,1.448411667,1.6666700007,1.6666700007,1.6666700007,1.6436821181,1.6015618461,1.6326837812,1.7109267841,1.8080437046,2.2256731317,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
BMU,EXCH,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.869045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
BOL,EXCH,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.3295e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.04033e-5,2.452e-5,2.452e-5,6.40717e-5,2.3163e-4,0.0031359092,0.4400290083,1.9219583333,2.05485,2.3502416667,2.6916833333,3.17265,3.5806083333,3.9005166667,4.2650833333,4.6205166667,4.8003416667,5.0746125,5.2542583333,5.5101333333,5.8124083333,6.1835416667,6.6069166667,7.17,7.6591666667,7.9362666667,8.0660625,8.0116166667,7.8512451613,7.2383206989,7.02,7.0166666667,6.9369625,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,NA,NA,NA,NA,NA,NA,NA
BRA,EXCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-10,2e-10,8e-10,2.7e-9,5.9e-9,1.7e-8,1.135e-7,1.2264e-6,2.95573e-5,1.759614e-4,0.0019530235,0.0382766109,0.6646835141,0.9176666667,1.0051,1.0779916667,1.1605166667,1.8139328466,1.8294231221,2.3496317093,2.9203630178,3.0774751185,2.9251194495,2.4343900362,2.1753266667,1.9470583333,1.8337666667,1.9994281731,1.7592267106,1.672828755,1.9530686111,2.156089151,2.352951963,3.326904383,3.4913134216,3.191389446,3.6538253615,3.9444710973,5.155178788,5.39440079,5.163970291,4.994379763,NA,NA,NA,NA,NA,NA,NA
