country,indicator,v1960,v1961,v1962,v1963,v1964,v1965,v1966,v1967,v1968,v1969,v1970,v1971,v1972,v1973,v1974,v1975,v1976,v1977,v1978,v1979,v1980,v1981,v1982,v1983,v1984,v1985,v1986,v1987,v1988,v1989,v1990,v1991,v1992,v1993,v1994,v1995,v1996,v1997,v1998,v1999,v2000,v2001,v2002,v2003,v2004,v2005,v2006,v2007,v2008,v2009,v2010,v2011,v2012,v2013,v2014,v2015,v2016,v2017,v2018,v2019,v2020,v2021,v2022,v2023,v2029,v2024,v2025,v2026,v2027,v2028,pop2029
HTI,POP,3.8584435,3.9290295,4.0015745,4.0730675,4.146244,4.2238205,4.302639,4.382999,4.4653285,4.549334,4.6351245,4.7232445,4.813868,4.906743,5.0017955,5.0990855,5.198357,5.299476,5.40258,5.50759,5.6144935,5.723725,5.835937,5.951096,6.06923,6.190862,6.3161215,6.4451225,6.5781445,6.7147295,6.854441,6.9954505,7.136571,7.2781805,7.419771,7.562546,7.707557,7.854298,8.002143,8.151296,8.303151,8.455918,8.607641,8.7599115,8.910263,9.061273,9.216562,9.373296,9.5307745,9.6895805,9.803294,9.9149035,10.0697705,10.2223625,10.373235,10.5232415,10.671457,10.817754,10.9623625,11.105163,11.243848,11.374586,11.503606,11.6373985,NA,11.772557,11.9060955,12.037506,12.1678065,12.2972945,12425.4385
HUN,POP,9.983374,10.0265135,10.058066,10.083841,10.114371,10.141119,10.1704045,10.2068105,10.244544,10.281589,10.315143,10.343969,10.3743035,10.407439,10.453913,10.515652,10.5737715,10.6231395,10.660188,10.6882525,10.6953665,10.679329,10.656116,10.622989,10.584328,10.547265,10.511098,10.475105,10.440531,10.4034205,10.381281,10.378176,10.371474,10.35687,10.339937,10.322788,10.302235,10.2786015,10.2517165,10.2197955,10.1905995,10.16669,10.1384655,10.108963,10.085791,10.065706,10.049943,10.0340815,10.016657,10.001378,9.9791285,9.9466765,9.916623,9.8893465,9.862842,9.839211,9.810532,9.7856045,9.7743935,9.7703465,9.7494565,9.7078495,9.6843055,9.6864635,NA,9.6761345,9.632287,9.585818,9.5532415,9.519888,9485.1065
IDN,POP,88.29607,90.791249,93.37585,96.051424,98.8337485,101.3651305,103.7927535,106.526393,109.450006,112.517639,115.6574945,118.8337025,122.039841,125.288515,128.5550445,131.8438475,135.1736555,138.533541,141.9531635,145.4348335,148.9505395,152.4850345,156.0521525,159.6513815,163.251124,166.776185,170.1750645,173.511154,176.8550655,180.2016295,183.5010975,186.778238,190.043744,193.3051675,196.5918275,199.888057,203.2043475,206.536095,209.8267885,213.004668,216.07779,219.0979015,222.088495,225.0480075,227.926649,230.87165,233.951652,237.0623375,240.1579035,243.220028,246.305322,249.470032,252.698525,255.8524665,258.877399,261.799249,264.627418,267.346658,269.9518465,272.489381,274.8148655,276.758053,278.8305285,281.1900665,NA,283.4879305,285.7212355,287.8867825,289.986522,292.0167785,293978.109
IND,POP,435.990338,446.5647285,457.2830895,468.138575,479.229598,490.140146,500.740247,511.6063715,522.7168885,533.8805435,545.864268,558.0963875,570.4821415,583.4655975,597.041391,611.309535,625.861883,640.801103,655.728229,671.1557465,687.3540255,703.6962495,720.313473,737.3726805,754.875449,772.647793,790.689978,808.93127,827.34299,846.039529,864.9722215,883.9276005,902.95707,922.118387,941.1637675,960.3010435,979.6784585,999.1337615,1018.66508,1038.225823,1057.922733,1077.898575,1097.600381,1116.803006,1135.991514,1154.676322,1172.87889,1190.676021,1207.930964,1225.524753,1243.481564,1261.224955,1278.674503,1295.829511,1312.277192,1328.024498,1343.944296,1359.6574,1374.659064,1389.030312,1402.617696,1414.203896,1425.423213,1438.069596,NA,1450.935791,1463.865525,1476.625577,1489.164674,1501.43274,1513423.731
IRL,POP,2.8276895,2.8246925,2.8314955,2.843034,2.8571665,2.8731525,2.888887,2.90542,2.9227945,2.9407525,2.9614035,2.9931205,3.037153,3.0844345,3.1321775,3.1801185,3.2284015,3.277756,3.329183,3.375801,3.4152395,3.4488265,3.475536,3.4976075,3.5159545,3.5312705,3.5418675,3.5403805,3.5250955,3.5110705,3.514018,3.53426,3.558421,3.576122,3.5901565,3.610697,3.638509,3.6722925,3.7110735,3.7529375,3.802585,3.862981,3.928443,3.992935,4.0660645,4.155284,4.2687775,4.393513,4.4859995,4.533752,4.55908,4.5796025,4.600132,4.6246865,4.6582385,4.702487,4.753503,4.8102605,4.8725555,4.933491,4.9826065,5.0284255,5.1100155,5.19663,NA,5.2550175,5.308039,5.35695,5.402888,5.446621,5487.4735
IRN,POP,21.470434,22.1257255,22.807907,23.5190055,24.262859,25.036978,25.82927,26.6284325,27.4373905,28.2734815,29.1450995,30.0290705,30.9211785,31.8398375,32.796463,33.802973,34.837271,35.9331805,37.1265345,38.4249525,39.842324,41.989312,44.2721405,46.029535,47.793998,49.582289,51.446045,53.3234925,55.0726945,56.7049135,58.3800915,59.9869305,61.184983,61.4035435,61.520598,62.205567,62.8812995,63.639638,64.519859,65.4453905,66.418659,67.452005,68.011317,68.76934,70.256316,71.828455,73.392747,74.6026475,75.5142035,76.457825,77.4208425,78.3835985,79.3705795,80.4146855,81.5020455,82.619362,83.812228,85.026754,86.117998,87.0516475,87.723443,88.4554875,89.5242465,90.608707,NA,91.5677375,92.417681,93.1684975,93.8386455,94.4400235,94985.0985
IRQ,POP,7.022052,7.194553,7.413875,7.667928,7.9295665,8.2021405,8.485104,8.778869,9.0850165,9.403356,9.7356105,10.077809,10.4301635,10.795869,11.1677605,11.5436395,11.927651,12.331046,12.7533555,13.1703655,13.5919915,14.0063815,14.4060825,14.8405545,15.3107325,15.68343,16.074145,16.5210485,16.9088185,17.3645425,17.5812055,17.7672535,18.300845,19.201195,20.139807,20.8258605,21.5013215,22.1765935,22.8843995,23.636527,24.424056,25.1978405,26.0065595,26.8026585,27.5778785,28.4074485,28.6165145,28.391607,28.9710355,30.058206,31.045366,32.1614235,33.6548425,35.281989,36.550059,37.5605345,38.469627,39.3373535,40.2656245,41.1921705,42.1166045,43.0712105,44.070551,45.074049,NA,46.042015,47.020774,48.007437,48.987423,49.9609485,50943.3295
ISL,POP,0.1755605,0.1789975,0.182341,0.185643,0.189026,0.192333,0.195596,0.198783,0.201504,0.203377,0.2044785,0.2061605,0.2092035,0.2123805,0.2152655,0.218028,0.22019,0.221834,0.223572,0.225756,0.2281445,0.2307465,0.2338445,0.2369635,0.2395015,0.241402,0.243184,0.2458545,0.2497265,0.2528505,0.2548335,0.257812,0.261085,0.263754,0.2660535,0.26751,0.26896,0.2711845,0.2741115,0.277448,0.28128,0.2850525,0.287607,0.289605,0.2921685,0.2968345,0.303874,0.3116505,0.3175145,0.318612,0.318158,0.319137,0.3208405,0.3238855,0.3275125,0.3309515,0.3355735,0.3435315,0.352854,0.3606995,0.366614,0.3726435,0.3803555,0.3875575,NA,0.3933955,0.398266,0.402329,0.405839,0.4090295,411.856
ISR,POP,1.8919345,1.9568845,2.040961,2.135041,2.231855,2.331451,2.433835,2.538657,2.64547,2.754157,2.8647775,2.9773,3.079401,3.1630445,3.2399810000000002,3.318089,3.398267,3.479618,3.5603955,3.640874,3.721665,3.8022375,3.883632,3.9596295,4.033735,4.105359,4.1689705,4.2368695,4.30732,4.38151,4.544999,4.7798895,4.957238,5.086045,5.2166995,5.3547385,5.4995515,5.646473,5.79014,5.9460805,6.1111905,6.259982,6.3877195,6.50282,6.6150875,6.728206,6.8440315,6.962455,7.0826205,7.206096,7.336735,7.4710225,7.6077805,7.749379,7.897179,8.0529085,8.2100055,8.3617965,8.5100665,8.657474,8.800376,8.9429245,9.103151,9.256314,NA,9.387021,9.5171805,9.647689,9.7788885,9.910678,10042.4075
ITA,POP,49.514555,49.8152495,50.1705895,50.5709765,51.0195785,51.4807275,51.919067,52.338334,52.7121555,53.060137,53.3902355,53.7077945,54.0675625,54.450567,54.8211135,55.166045,55.4594155,55.714555,55.9389655,56.13238,56.4120845,56.64675,56.7191755,56.7661115,56.8103525,56.8555005,56.8759875,56.891926,56.928751,56.976755,57.0314535,57.0753935,57.1249895,57.1707635,57.420138,57.4033435,57.1620915,57.1892745,57.2151945,57.2407985,57.2721965,57.3057605,57.4206275,57.739699,58.1767375,58.519693,58.754433,59.10872,59.561684,59.9040105,60.164213,60.3678795,60.531515,60.6538685,60.6641715,60.575316,60.4781075,60.390318,60.2774985,60.130136,59.912769,59.72935,59.6191145,59.499453,NA,59.342867,59.14626,58.9261665,58.688779,58.445833,58201.026
