date_quarterly,iso3,year,exchange_rate,GDP-CAP,gdp_ppp_current_usd,GDP-PPP-CAP,gdp_current_usd,GDP-VOL,population,total_exports_usd_k,total_imports_usd_k,tariff_ahs_weighted,tariff_mfn_weighted,quarter
2016-03-31,APEC,2016,,15486.591242058437,62018560.98190723,21480.31675019108,44714392.13288031,46022505.47410368,2887.2412977796334,,,,,1
2016-06-30,APEC,2016,,15548.77877904713,62526130.911819145,21617.748672011126,44973864.220719084,46355893.60320733,2892.373446777683,,,,,2
2016-09-30,APEC,2016,,15664.045585624544,63054265.78989555,21761.119463296054,45388418.66072369,46699605.52551859,2897.582493289449,,,,,3
2016-12-31,APEC,2016,,15819.432724,63617590.164,21915.653794,45921248.671,47068899.622,2902.8378875,,,,,4
2017-03-31,APEC,2017,,15999.727989873078,64215817.13692964,22082.052484607764,46527564.31502413,47467674.20117879,2908.034042948814,,,,,1
2017-06-30,APEC,2017,,16206.398845882299,64855298.18687788,22261.608990992056,47213849.53558791,47898932.60137408,2913.2931359351596,,,,,2
2017-09-30,APEC,2017,,16437.784278448256,65517327.06602093,22448.410302015163,47974419.37554708,48347869.73684988,2918.54838173178,,,,,3
2017-12-31,APEC,2017,,16689.235208,66174853.147,22634.143506,48793880.305,48793880.305,2923.673835,,,,,4
2018-03-31,APEC,2018,,16950.68739223858,66802465.281500965,22811.32269608462,49640254.44374868,49217977.45826544,2928.5098002540008,,,,,1
2018-06-30,APEC,2018,,17220.31475761285,67443492.97042592,22993.375470462222,50510886.513624616,49649705.56618126,2933.2209940233943,,,,,2
2018-09-30,APEC,2018,,17486.12946823087,68129514.325554,23190.863386903293,51370822.8443295,50111124.32189519,2937.8159247106328,,,,,3
2018-12-31,APEC,2018,,17732.812972,68885459.446,23412.458815,52174484.471,50619870.514,2942.2565135,,,,,4
2019-03-31,APEC,2019,,17941.467170273056,69693530.06220673,23652.850311128597,52864466.542129695,51163968.996550635,2946.4565461555135,,,,,1
2019-06-30,APEC,2019,,18096.033925468037,70458073.90284972,23879.06533489427,53394138.83997862,51675675.59643516,2950.5276958417126,,,,,2
