Country,Year,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
Papua New Guinea,2024,"$31,496,000,000",$31.5 billion,3.80%,10185363,"$2,512",
Bosnia and Herzegovina,2024,"$29,614,000,000",$29.61 billion,3%,3412000,"$8,571",
Sudan,2024,"$29,184,000,000",$29.18 billion,?23.4%,51662000,$594,
Lebanon,2024,"$28,280,000,000",$28.28 billion,?7.5%,5490000,"$5,282",
Albania,2024,"$27,084,000,000",$27.08 billion,4%,2363314,"$9,948",
Zambia,2024,"$26,326,000,000",$26.33 billion,4%,19693423,"$1,246",
Armenia,2024,"$25,955,000,000",$25.95 billion,5.90%,3076200,"$8,330",
Trinidad and Tobago,2024,"$25,634,000,000",$25.63 billion,2.50%,1367764,"$17,949",
Haiti,2024,"$25,285,000,000",$25.29 billion,?4.2%,11867032,"$2,041",
Malta,2024,"$24,964,000,000",$24.96 billion,6.80%,574250,"$45,167",
Guyana,2024,"$24,659,000,000",$24.66 billion,43.60%,772975,"$30,962",
Guinea,2024,"$24,229,000,000",$24.23 billion,6.10%,14363931,"$1,572",
Mongolia,2024,"$23,795,000,000",$23.8 billion,5.10%,3544835,"$6,712",
Burkina Faso,2024,"$23,130,000,000",$23.13 billion,4.80%,24070553,$982,
Mali,2024,"$22,789,000,000",$22.79 billion,4.70%,22395489,$930,
Mozambique,2024,"$22,745,000,000",$22.75 billion,2.10%,34090466,$653,
Jamaica,2024,"$21,900,000,000",$21.9 billion,?0.5%,2774538,"$7,965",
Benin,2024,"$21,487,000,000",$21.49 billion,7.50%,13224860,"$1,482",
Gabon,2024,"$20,900,000,000",$20.9 billion,3.40%,2469296,"$9,258",
Syria,2024,"$19,993,439,950","$19.99 billion (WB, 2023)",?1.21%,26019711,$847,
Niger,2024,"$19,866,000,000",$19.87 billion,10.30%,26312034,$707,
Chad,2024,"$19,836,000,000",$19.84 billion,3.50%,19340757,"$1,076",
Nicaragua,2024,"$19,694,000,000",$19.69 billion,3.60%,6803886,"$2,843",
Botswana,2024,"$19,356,000,000",$19.36 billion,?3%,2359609,"$7,117",
Yemen,2024,"$19,101,000,000",$19.1 billion,?1.5%,32684503,$471,
Moldova,2024,"$18,201,000,000",$18.2 billion,0.10%,2381300,"$7,511",
Afghanistan,2024,"$18,080,000,000",$18.08 billion,1.70%,43844000,$417,
Kyrgyzstan,2024,"$17,491,000,000",$17.49 billion,9%,7281800,"$2,471",
Madagascar,2024,"$17,421,000,000",$17.42 billion,4.20%,31727042,$569,
North Macedonia,2024,"$16,679,000,000",$16.68 billion,2.80%,1822612,"$9,169",
North Korea,2024,"$16,446,632,290","$16.45 billion (UN, 2023)",3.06%,25950000,$640,
Laos,2024,"$15,908,000,000",$15.91 billion,4.30%,7647000,"$2,070",
Bahamas,2024,"$15,833,000,000",$15.83 billion,3.40%,398165,"$38,792",
Brunei,2024,"$15,463,000,000",$15.46 billion,4.10%,455500,"$33,948",
Mauritius,2024,"$14,986,000,000",$14.99 billion,4.90%,1243741,"$11,909",
