Country,Year,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
Guinea,2023,"$22,199,409,741",22.199 billion,6.74%,14405468,"$1,541",0.02%
Mozambique,2023,"$20,954,220,984",20.954 billion,5.44%,33635160,$623,0.02%
Mali,2023,"$20,661,794,596",20.662 billion,4.66%,23769127,$869,0.02%
Mongolia,2023,"$20,325,121,394",20.325 billion,7.42%,3431932,"$5,922",0.02%
Burkina Faso,2023,"$20,324,617,845",20.325 billion,2.96%,23025776,$883,0.02%
Haiti,2023,"$19,850,829,758",19.851 billion,âˆ’1.86%,11637398,"$1,706",0.02%
Benin,2023,"$19,676,049,076",19.676 billion,6.35%,14111034,"$1,394",0.02%
Jamaica,2023,"$19,423,355,409",19.423 billion,2.20%,2839786,"$6,840",0.02%
Botswana,2023,"$19,396,084,498",19.396 billion,2.73%,2480244,"$7,820",0.02%
Gabon,2023,"$19,388,402,542",19.388 billion,2.45%,2484789,"$7,803",0.02%
Nicaragua,2023,"$17,829,218,219",17.829 billion,4.57%,6823613,"$2,613",0.02%
State of Palestine,2023,"$17,420,800,000",17.421 billion,âˆ’5.41%,5409202,"$3,221",0.02%
Afghanistan,2023,"$17,233,051,620",17.233 billion,2.71%,41454761,$416,0.02%
Guyana,2023,"$17,159,509,565",17.16 billion,33.80%,826353,"$20,765",0.02%
Niger,2023,"$16,819,170,421",16.819 billion,2.50%,26159867,$643,0.02%
Moldova,2023,"$16,539,436,547",16.539 billion,0.78%,3067070,"$5,393",0.02%
Laos,2023,"$15,843,155,731",15.843 billion,3.75%,7664993,"$2,067",0.02%
Madagascar,2023,"$15,790,113,247",15.79 billion,3.80%,31195932,$506,0.02%
North Macedonia,2023,"$15,763,621,848",15.764 billion,2.07%,1831802,"$8,606",0.02%
Congo,2023,"$15,321,055,823",15.321 billion,1.91%,6182885,"$2,478",0.01%
Brunei,2023,"$15,128,292,981",15.128 billion,1.41%,458949,"$32,963",0.01%
Mauritius,2023,"$14,644,524,819",14.645 billion,6.96%,1273588,"$11,499",0.01%
Bahamas,2023,"$14,338,500,000",14.338 billion,2.64%,399440,"$35,897",0.01%
Rwanda,2023,"$14,097,768,472",14.098 billion,8.24%,13954471,"$1,010",0.01%
Kyrgyzstan,2023,"$13,987,627,909",13.988 billion,6.15%,7073516,"$1,977",0.01%
Chad,2023,"$13,149,325,362",13.149 billion,4.12%,19319064,$681,0.01%
Malawi,2023,"$12,712,150,082",12.712 billion,1.89%,21104482,$602,0.01%
Namibia,2023,"$12,351,025,067",12.351 billion,4.16%,2963095,"$4,168",0.01%
Equatorial Guinea,2023,"$12,337,550,584",12.338 billion,âˆ’5.09%,1847549,"$6,678",0.01%
Tajikistan,2023,"$12,060,602,009",12.061 billion,8.30%,10389799,"$1,161",0.01%
Mauritania,2023,"$10,651,709,411",10.652 billion,6.51%,5022441,"$2,121",0.01%
Togo,2023,"$9,171,261,838",9.171 billion,6.41%,9304337,$986,0.01%
Montenegro,2023,"$7,530,593,375",7.531 billion,6.34%,633552,"$11,886",0.01%
Barbados,2023,"$6,720,733,200",6.721 billion,4.09%,282336,"$23,804",0.01%
Maldives,2023,"$6,590,894,302",6.591 billion,4.73%,525994,"$12,530",0.01%
Sierra Leone,2023,"$6,411,869,546",6.412 billion,5.71%,8460512,$758,0.01%
Fiji,2023,"$5,442,046,565",5.442 billion,7.52%,924145,"$5,889",0.01%
Eswatini,2023,"$4,442,875,788",4.443 billion,5.01%,1230506,"$3,611",0.00%
Liberia,2023,"$4,240,000,000",4.24 billion,4.68%,5493031,$772,0.00%
Andorra,2023,"$3,785,067,332",3.785 billion,2.58%,80856,"$46,812",0.00%
Aruba,2023,"$3,648,573,136",3.649 billion,4.26%,107939,"$33,802",0.00%
Suriname,2023,"$3,455,146,281",3.455 billion,2.54%,628886,"$5,494",0.00%
Belize,2023,"$3,066,850,000",3.067 billion,1.15%,411106,"$7,460",0.00%
Burundi,2023,"$2,642,161,669",2.642 billion,2.70%,13689450,$193,0.00%
Central African Republic,2023,"$2,555,492,085",2.555 billion,0.87%,5152421,$496,0.00%
Cabo Verde,2023,"$2,533,819,406",2.534 billion,5.48%,522331,"$4,851",0.00%
Saint Lucia,2023,"$2,430,148,148",2.43 billion,2.21%,179285,"$13,555",0.00%
Gambia,2023,"$2,396,111,022",2.396 billion,4.80%,2697845,$888,0.00%
Seychelles,2023,"$2,141,450,171",2.141 billion,3.16%,127951,"$16,736",0.00%
Lesotho,2023,"$2,117,962,451",2.118 billion,1.83%,2311472,$916,0.00%
Timor-Leste,2023,"$2,079,916,900",2.08 billion,âˆ’18.12%,1384286,"$1,503",0.00%
Guinea-Bissau,2023,"$2,048,348,108",2.048 billion,5.20%,2153339,$951,0.00%
Antigua and Barbuda,2023,"$2,033,085,185",2.033 billion,3.86%,93316,"$21,787",0.00%
Solomon Islands,2023,"$1,633,319,401",1.633 billion,3.08%,800005,"$2,042",0.00%
Comoros,2023,"$1,352,380,971",1.352 billion,3%,850387,"$1,590",0.00%
Grenada,2023,"$1,316,733,333",1.317 billion,3.57%,117081,"$11,246",0.00%
Vanuatu,2023,"$1,126,313,359",1.126 billion,2.21%,320409,"$3,515",0.00%
St. Vincent & Grenadines,2023,"$1,065,962,963",1.066 billion,6.02%,101323,"$10,520",0.00%
Saint Kitts & Nevis,2023,"$1,055,499,778",1.055 billion,2.28%,46758,"$22,574",0.00%
Samoa,2023,"$938,189,444",938.189 million,8.58%,216663,"$4,330",0.00%
Sao Tome & Principe,2023,"$678,976,265",678.976 million,0.37%,230871,"$2,941",0.00%
Dominica,2023,"$653,992,593",653.993 million,4.71%,66510,"$9,833",0.00%
Micronesia,2023,"$460,000,000",460 million,0.78%,112630,"$4,084",0.00%
Palau,2023,"$281,849,063",281.849 million,1.88%,17727,"$15,899",0.00%
Kiribati,2023,"$279,208,903",279.209 million,4.12%,132530,"$2,107",0.00%
Marshall Islands,2023,"$259,300,000",259.3 million,âˆ’3.93%,38827,"$6,678",0.00%
Tuvalu,2023,"$62,280,312",62.28 million,3.85%,9816,"$6,345",0.00%
United States,2024,"$29,298,025,000,000",$29.3 trillion,2.80%,340110988,"$86,145",
China,2024,"$18,749,759,000,000",$18.75 trillion,5%,1408280000,"$13,314",
Germany,2024,"$4,684,182,000,000",$4.68 trillion,?0.5%,83497147,"$56,087",
Japan,2024,"$4,019,382,000,000",$4.02 trillion,0.10%,123190000,"$32,443",
India,2024,"$3,909,892,000,000",$3.91 trillion,6.50%,1417492000,"$2,695",
United Kingdom,2024,"$3,644,636,000,000",$3.64 trillion,1.10%,69487000,"$52,648",
France,2024,"$3,160,902,000,000",$3.16 trillion,1.10%,68736000,"$46,187",
Italy,2024,"$2,372,059,000,000",$2.37 trillion,0.70%,58925596,"$40,224",
Canada,2024,"$2,243,637,000,000",$2.24 trillion,1.60%,41575585,"$54,531",
Brazil,2024,"$2,179,413,000,000",$2.18 trillion,3.40%,213421037,"$10,252",
Russia,2024,"$2,173,225,000,000",$2.17 trillion,4.30%,146028325,"$14,871",
South Korea,2024,"$1,875,388,000,000",$1.88 trillion,2%,51143421,"$36,239",
Mexico,2024,"$1,856,366,000,000",$1.86 trillion,1.40%,130760049,"$14,034",
Australia,2024,"$1,795,492,000,000",$1.8 trillion,1%,27614400,"$65,529",
Spain,2024,"$1,725,152,000,000",$1.73 trillion,3.50%,49442844,"$35,151",
Indonesia,2024,"$1,396,300,000,000",$1.4 trillion,5%,284438782,"$4,958",
Turkey,2024,"$1,358,251,000,000",$1.36 trillion,3.30%,85664944,"$15,882",
Saudi Arabia,2024,"$1,239,805,000,000",$1.24 trillion,2%,35300280,"$35,122",
Netherlands,2024,"$1,214,562,000,000",$1.21 trillion,1.10%,18130662,"$67,690",
Switzerland,2024,"$938,153,000,000",$938.15 billion,1.40%,9104063,"$104,681",
Poland,2024,"$914,553,000,000",$914.55 billion,2.90%,37376000,"$24,973",
Taiwan,2024,"$797,004,000,000",$797 billion,4.80%,23317031,"$34,060",
Belgium,2024,"$664,365,000,000",$664.37 billion,1%,11917402,"$56,221",
Argentina,2024,"$637,234,000,000",$637.23 billion,?1.3%,46387098,"$13,523",
Ireland,2024,"$608,974,000,000",$608.97 billion,2.60%,5458600,"$112,356",
Sweden,2024,"$603,715,000,000",$603.72 billion,0.80%,10610485,"$57,020",
United Arab Emirates,2024,"$552,325,000,000",$552.33 billion,4%,11294243,"$50,216",
Singapore,2024,"$547,387,000,000",$547.39 billion,4.40%,6110200,"$90,674",
Israel,2024,"$542,285,000,000",$542.28 billion,1%,10178000,"$54,294",
Thailand,2024,"$526,518,000,000",$526.52 billion,2.50%,65826149,"$7,493",
Austria,2024,"$523,956,000,000",$523.96 billion,?1%,9216459,"$57,208",
Norway,2024,"$483,593,000,000",$483.59 billion,2.10%,5618354,"$86,587",
Philippines,2024,"$461,617,000,000",$461.62 billion,5.70%,114123600,"$4,079",
Vietnam,2024,"$459,472,000,000",$459.47 billion,7.10%,101343800,"$4,536",
Bangladesh,2024,"$450,461,000,000",$450.46 billion,4.20%,169828911,"$2,619",
Denmark,2024,"$424,525,000,000",$424.52 billion,3.50%,6024684,"$71,214",
Malaysia,2024,"$422,227,000,000",$422.23 billion,5.10%,34281100,"$12,619",
