date,A_mean,A_p025,A_p16,A_p50,A_p84,A_p975,HL_mean,HL_p025,HL_p16,HL_p50,HL_p84,HL_p975
2016-03-31,0.37956347292397474,0.15300535631342954,0.2510580251171783,0.35552809578058087,0.550074901043034,0.6487694770524868,1.9613333333333332,0.41059523809523807,0.9099047619047619,1.8214285714285714,3.1786666666666656,4.043333333333333
2016-06-30,0.3630053053383569,0.13052209905665804,0.2691635225082408,0.3504288027342516,0.4826706881342143,0.5508727632616032,1.8019047619047617,0.24476190476190476,0.5468571428571429,1.6238095238095238,3.0672380952380944,3.7083333333333335
2016-09-30,0.4001778415382071,0.18364971532461574,0.26134405051020226,0.41638510044695665,0.5010318170966028,0.6077837059904142,1.5697142857142858,0.2783333333333333,0.49238095238095236,1.1476190476190475,2.6975238095238097,3.6578571428571425
2016-12-31,0.37100526986747295,0.16406030549834408,0.2807895443010037,0.36262087128659665,0.4738667712512252,0.5534804258099066,1.7445714285714287,0.3908333333333333,0.8493333333333333,1.7333333333333334,2.571809523809523,3.120595238095238
2017-03-31,0.3862942816551583,0.21157093810608832,0.29291247752546345,0.37627517050115966,0.48014799720388435,0.5607239255486253,1.5896190476190477,0.3005952380952381,0.8348571428571429,1.4047619047619047,2.607428571428571,3.2632142857142856
2017-06-30,0.32742885490567586,0.16250610406233637,0.23266148857803765,0.3354456595644776,0.40528812272519193,0.4895582319202172,1.7394285714285715,0.43916666666666665,0.8544761904761905,1.7857142857142856,2.49447619047619,3.3816666666666664
2017-09-30,0.40246102975964687,0.2415832363716848,0.2927999598163399,0.3928540655536022,0.4984437625260852,0.6163886113665966,1.4665714285714286,0.47273809523809524,0.7893333333333333,1.4571428571428573,2.067238095238095,2.902380952380952
2017-12-31,0.38970760608646565,0.14342483549640397,0.2756748697576554,0.40174702391870687,0.5034305726889143,0.5529575552305358,0.534952380952381,0.05345238095238095,0.12876190476190474,0.4,0.7647619047619045,1.2770238095238093
2018-03-31,0.4019754500313282,0.16798024182664717,0.25366579085287194,0.43565036634408094,0.5159642268587556,0.5723861203273851,0.15685714285714286,0.0,0.01904761904761905,0.08571428571428572,0.2689523809523809,0.674047619047619
2018-06-30,0.3845509705589267,0.11395326733340246,0.2716061741775066,0.39043364299171335,0.538351188090239,0.6000991382515218,0.8814285714285716,0.02547619047619048,0.2398095238095238,0.7928571428571428,1.3182857142857138,2.4207142857142854
2018-09-30,0.2728193771682736,0.0354535575606075,0.18111050167620546,0.25721135009615065,0.37197118701552073,0.5114392346906599,1.895809523809524,0.47654761904761905,1.0723809523809524,1.5785714285714287,3.1670476190476182,3.8167857142857144
2018-12-31,0.2519107450130599,0.04334777029190967,0.14709394548281787,0.24584550355929835,0.37861787094808963,0.43297038579606156,2.529142857142857,0.8095238095238095,1.5502857142857143,2.6833333333333336,3.500380952380952,3.9341666666666666
2019-03-31,0.04822414088233253,-0.058853025160220625,-0.03813426123120467,0.0255082371544353,0.12784077337913677,0.2747486885883932,1.3899047619047622,0.7491666666666666,1.081142857142857,1.4,1.7428571428571429,1.963452380952381
2019-06-30,0.10730994487479012,-0.036976153145729225,0.043542930621609625,0.11015758356552974,0.15666966260101783,0.2789504160850315,0.01780952380952381,0.0,0.0,0.0,0.0380952380952381,0.1779761904761903
